year,county,port,port_label,is_named_port,kgs,dollars,measure_class
2017,Pictou,Caribou Ferry,Caribou Ferry,1,1059196.30,3796053.93,both_present
2017,Pictou,Chance Harbour,Chance Harbour,1,,,both_blank
2017,Pictou,Little Harbour,Little Harbour (Pictou),1,,,both_blank
2017,Pictou,Merigomish,Merigomish,1,,,both_blank
2017,Pictou,Other,Other (Pictou),0,355742.96,4741168.83,both_present
2017,Pictou,Pictou Island,Pictou Island,1,,,both_blank
2017,Pictou,Pictou Landing,Pictou Landing,1,,,both_blank
2017,Pictou,Skinners Cove,Skinners Cove,1,,,both_blank
2017,Pictou,Toney River,Toney River,1,,,both_blank
2017,Queens,Brooklyn Fisherman's Wharf,Brooklyn Fisherman's Wharf,1,,,both_blank
2017,Queens,East Side Port L'Hebert,East Side Port L'Hebert,1,,,both_blank
2017,Queens,Hunts Point,Hunts Point,1,,,both_blank
2017,Queens,Moose Harbour,Moose Harbour,1,,,both_blank
2017,Queens,Other,Other (Queens),0,55840.13,4775112.57,both_present
2017,Queens,Port Medway,Port Medway,1,141265.34,2220212.43,both_present
2017,Queens,Port Mouton,Port Mouton,1,4151769.29,10549819.63,both_present
2017,Queens,South West Port Mouton,South West Port Mouton,1,,,both_blank
2017,Queens,St. Catherines River,St. Catherines River,1,,,both_blank
2017,Queens,Volgers Cove,Volgers Cove,1,197720.75,2911890.77,both_present
2017,Queens,West Berlin,West Berlin,1,,,both_blank
2017,Richmond,Arichat,Arichat,1,,,both_blank
2017,Richmond,Arrow Point,Arrow Point,1,,,both_blank
2017,Richmond,Chapel Cove,Chapel Cove,1,,,both_blank
2017,Richmond,D'escousse,D'escousse,1,,,both_blank
2017,Richmond,Fourchu,Fourchu,1,,,both_blank
2017,Richmond,Janvrin Harbour,Janvrin Harbour,1,,,both_blank
2017,Richmond,L'Archeveque,L'Archeveque,1,,,both_blank
2017,Richmond,Little Harbour,Little Harbour (Richmond),1,,,both_blank
2017,Richmond,Other,Other (Richmond),0,2919655.15,34445569.31,both_present
2017,Richmond,Poirierville,Poirierville,1,,,both_blank
2017,Richmond,River Bourgeois,River Bourgeois,1,,,both_blank
2017,Shelburne,Allendale,Allendale,1,,,both_blank
2017,Shelburne,Bear Point,Bear Point,1,1588972.69,5334285.34,both_present
2017,Shelburne,Cape Negro,Cape Negro,1,,,both_blank
2017,Shelburne,Clarck's Harbour,Clarck's Harbour,1,2299821.65,29106668.15,both_present
2017,Shelburne,Cripple Creek,Cripple Creek,1,219094.92,3589594.69,both_present
2017,Shelburne,Forbes Point,Forbes Point,1,,,both_blank
2017,Shelburne,Gunning Cove,Gunning Cove,1,1428197.91,16469978.53,both_present
2017,Shelburne,Ingomar,Ingomar,1,1578899.10,16050622.36,both_present
2017,Shelburne,Jones Harbour,Jones Harbour,1,93783.78,1524682.57,both_present
2017,Shelburne,Little Harbour,Little Harbour (Shelburne),1,144059.00,2229724.57,both_present
2017,Shelburne,Lockeport,Lockeport,1,776824.06,12693724.76,both_present
2017,Shelburne,Lower Jordan Bay,Lower Jordan Bay,1,457330.05,3381192.92,both_present
2017,Shelburne,Lower Sandy Point,Lower Sandy Point,1,316474.97,4255858.30,both_present
2017,Shelburne,Lower Woods Harbour,Lower Woods Harbour,1,2534200.36,10233749.54,both_present
2017,Shelburne,Lower Woods Harbour,Lower Woods Harbour,1,1654513.73,24718066.84,both_present
2017,Shelburne,Lower Woods Harbour,Lower Woods Harbour,1,,,both_blank
2017,Shelburne,Newellton,Newellton,1,488077.23,8138815.85,both_present
2017,Shelburne,Osborne Harbour,Osborne Harbour,1,,,both_blank
2017,Shelburne,Other,Other (Shelburne),0,1545608.71,9720359.10,both_present
2017,Shelburne,Port La Tour,Port La Tour,1,2049364.93,15353471.17,both_present
2017,Shelburne,Seal Point,Seal Point,1,84296.45,1283049.98,both_present
2017,Shelburne,Shag Harbour,Shag Harbour,1,1443910.79,10959650.97,both_present
2017,Shelburne,Shag Harbour,Shag Harbour,1,,,both_blank
2017,Shelburne,Shelburne,Shelburne,1,298784.67,1124799.63,both_present
2017,Shelburne,South Side,South Side,1,430004.76,6542751.03,both_present
2017,Shelburne,Stoney Island,Stoney Island,1,343746.92,5472967.91,both_present
2017,Shelburne,Swims Point,Swims Point,1,782041.13,2469618.52,both_present
2017,Shelburne,Uper Port La Tour,Uper Port La Tour,1,,,both_blank
2017,Shelburne,West Green Harbour,West Green Harbour,1,92439.51,1377179.19,both_present
2017,Shelburne,West Head,West Head,1,2717234.69,30032483.84,both_present
2017,Victoria,Bay St. Lawrence,Bay St. Lawrence,1,,,both_blank
2017,Victoria,Big Bras D'or,Big Bras D'or,1,,,both_blank
2017,Victoria,Dingwall,Dingwall,1,332103.74,4502491.23,both_present
2017,Victoria,Englishtown,Englishtown,1,,,both_blank
2017,Victoria,Ingonish,Ingonish,1,333220.07,4977563.10,both_present
2017,Victoria,Ingonish Beach,Ingonish Beach,1,,,both_blank
2017,Victoria,Ingonish Ferry,Ingonish Ferry,1,,,both_blank
2017,Victoria,Iona,Iona,1,,,both_blank
2017,Victoria,Little River,Little River (Victoria),1,,,both_blank
2017,Victoria,Neils Harbour,Neils Harbour,1,,,both_blank
2017,Victoria,New Campbellton,New Campbellton,1,,,both_blank
2017,Victoria,New Haven,New Haven,1,,,both_blank
2017,Victoria,Nyanza,Nyanza,1,,,both_blank
2017,Victoria,Other,Other (Victoria),0,,,both_blank
2017,Victoria,Smelt Book,Smelt Book,1,,,both_blank
2017,Victoria,White Point,White Point,1,,,both_blank
2017,Victoria,Wreck Cove,Wreck Cove,1,,,both_blank
2017,Yarmouth,Abbotts Harbour,Abbotts Harbour,1,604306.11,5383817.56,both_present
2017,Yarmouth,Abrams River,Abrams River,1,,,both_blank
2017,Yarmouth,Camp Cove,Camp Cove,1,2134530.47,22536835.91,both_present
2017,Yarmouth,Chebogue,Chebogue,1,,,both_blank
2017,Yarmouth,Chegoggin,Chegoggin,1,,,both_blank
2017,Yarmouth,Chegoggin Point,Chegoggin Point,1,,,both_blank
2017,Yarmouth,Dennis Point,Dennis Point,1,17376201.85,21154737.21,both_present
2017,Yarmouth,Glenwood,Glenwood,1,,,both_blank
2017,Yarmouth,Hubbards Point,Hubbards Point,1,,,both_blank
2017,Yarmouth,Ledge Harbour,Ledge Harbour,1,,,both_blank
2017,Yarmouth,Little River Harbour,Little River Harbour,1,950869.44,10783271.38,both_present
2017,Yarmouth,Lower East Pubnico,Lower East Pubnico,1,7669807.99,34406571.19,both_present
2017,Yarmouth,Lower Wedgeport Tuna Wharf,Lower Wedgeport Tuna Wharf,1,,,both_blank
2017,Yarmouth,Morris Island,Morris Island,1,518432.07,576393.59,both_present
2017,Yarmouth,Other,Other (Yarmouth),0,15003370.30,7011374.27,both_present
2017,Yarmouth,Pinkneys Point,Pinkneys Point,1,1762975.57,10255189.22,both_present
2017,Yarmouth,Plymouth,Plymouth,1,,,both_blank
2017,Yarmouth,Port Maitland,Port Maitland,1,196225.25,3079471.56,both_present
2017,Yarmouth,Rocco Point,Rocco Point,1,,,both_blank
2017,Yarmouth,Sluice Point,Sluice Point,1,,,both_blank
2017,Yarmouth,Stanford,Stanford,1,,,both_blank
2017,Yarmouth,Surettes Island,Surettes Island,1,,,both_blank
2017,Yarmouth,Wedge Point,Wedge Point,1,3507932.66,17813630.01,both_present
2017,Yarmouth,Yarmouth Bar,Yarmouth Bar,1,3168072.97,33893095.43,both_present
2018,Annapolis,Anderson Cove,Anderson Cove,1,,,both_blank
