source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
7203,BPRES-2025-03058,,52000,Renovation,Renovation,Withdrawn,UPPER TANTALLON,District 13,1,2,Dwelling - Multiple Units,44.70846181933546,-63.86851674499873
7204,BPRES-2025-03073,2025-04-07,125000,Renovation,Renovation,Issued,DARTMOUTH,District 06,0,5,Dwelling - Multiple Units,44.67164889272184,-63.53132391191207
7205,BPRES-2025-03141,,52000,Addition,Addition,Application Incomplete,HALIFAX,District 08,0,1,Dwelling - Single Detached,44.661959312373234,-63.601544628989174
7206,BPRES-2025-03154,2025-03-25,12000,Renovation,Renovation,Issued,HALIFAX,District 08,0,3,Dwelling - Multiple Units,44.652621519323986,-63.58625895519043
7207,BPRES-2025-03206,2025-03-20,216000,New Building,New Building,Issued,HATCHET LAKE,District 13,1,2,Dwelling - Single Detached,44.564139712579056,-63.713688912393465
7208,BPRES-2025-03241,2025-04-30,90000,Renovation,Renovation,Completed,DARTMOUTH,District 05,1,2,Dwelling - Multiple Units,44.682316101484254,-63.57918732652736
7209,BPRES-2025-03287,2025-05-20,350000,New Building,New Building,Completed,CONROD SETTLEMENT,District 02,1,2,Dwelling - Single Detached,44.769135506595916,-63.23093412740861
7210,BPRES-2025-03320,2025-04-01,35,Renovation,Renovation,Completed,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.655735210369706,-63.628990236666525
7211,BPRES-2025-03370,2025-03-21,85000,New Building,New Building,Completed,WAVERLEY,District 01,0,1,Accessory Structure,44.78202062715474,-63.6152583419502
7212,BPRES-2025-03393,2025-05-26,500000,New Building,New Building,Completed,COLE HARBOUR,District 04,1,1,Dwelling - Single Detached,44.6584380088406,-63.4565589491254
7213,BPRES-2025-03467,2025-06-19,30000,Addition,Addition,Amendment Applicant Revisions,ENFIELD,District 01,0,1,Dwelling - Single Detached,44.920658733444505,-63.550926969505824
7214,BPRES-2025-03479,,30000,Renovation,Renovation,Withdrawn,TERENCE BAY,District 13,1,1,Dwelling - Multiple Units,44.50519065242946,-63.73768735569155
7215,BPRES-2025-03500,2025-03-21,27000,New Building,New Building,Issued,STILLWATER LAKE,District 13,0,1,Accessory Structure,44.70387669426702,-63.83303869990319
7216,BPRES-2025-03526,2025-08-06,2000000,New Building,New Building,Issued,LAKE LOON,District 04,4,2,Dwelling - Townhouse,44.70901150394187,-63.49687358933212
7217,BPRES-2025-03591,2025-03-28,30000,Addition,Addition,Issued,HALIFAX,District 11,0,1,Dwelling - Single Detached,44.629858247199394,-63.60216316566574
7218,BPRES-2025-03628,2025-04-22,8500,Addition,Addition,Issued,DARTMOUTH,District 05,1,2,Dwelling - Multiple Units,44.66622672901053,-63.555962582943145
7219,BPRES-2025-03678,2025-04-01,50000,Renovation,Renovation,Completed,BEDFORD,District 16,1,1,Dwelling - Multiple Units,44.722613197532354,-63.715198436899435
7220,BPRES-2025-03741,2025-04-01,400000,New Building,New Building,Issued,HALIFAX,District 11,2,2,Dwelling - Semi-Detached,44.58632795293929,-63.58837985055173
7221,BPRES-2025-03777,2025-11-03,30000,Renovation,Renovation,Issued,HALIFAX,District 10,2,2,Dwelling - Multiple Units,44.65572472106925,-63.639301092436405
7222,BPRES-2025-03794,2025-04-22,1671490,New Building,New Building,Completed,DARTMOUTH,District 06,5,3,Dwelling - Townhouse,44.67460573107173,-63.54318464873103
7223,BPRES-2025-03821,2025-04-08,40000,New Building,New Building,Completed,DARTMOUTH,District 06,0,1,Accessory Structure,44.68810129411335,-63.534495076190126
7224,BPRES-2025-03839,2025-05-21,140000,New Building,New Building,Issued,WHITES LAKE,District 13,1,1,Dwelling - Single Detached,44.51946051124441,-63.754881363150965
7225,BPRES-2025-03873,2025-05-09,1465644,New Building,New Building,Issued,DARTMOUTH,District 03,6,2,Dwelling - Townhouse,44.66082323838169,-63.53395339173628
7226,BPRES-2025-03881,2025-05-12,906990,New Building,New Building,Issued,DARTMOUTH,District 03,6,2,Dwelling - Townhouse,44.660821906204774,-63.53307616024201
7227,BPRES-2025-03907,2025-04-16,70000,Renovation,Renovation,Completed,HALIFAX,District 09,1,2,Dwelling - Multiple Units,44.652755027611725,-63.60037165668328
7228,BPRES-2025-03920,2025-07-08,45000,New Building,New Building,Completed,CLAM BAY,District 02,0,1,Accessory Structure,44.734405804175466,-62.93295039255154
7229,BPRES-2025-03929,2025-05-13,755825,New Building,New Building,Issued,DARTMOUTH,District 03,5,2,Dwelling - Townhouse,44.66156243274159,-63.53446038106791
7230,BPRES-2025-03934,2025-05-13,1465644,New Building,New Building,Issued,DARTMOUTH,District 03,6,2,Dwelling - Townhouse,44.661024457038685,-63.53430215218037
7231,BPRES-2025-03983,,4000,New Building,New Building,Withdrawn,TIMBERLEA,District 12,0,1,Accessory Structure,44.64882680389944,-63.72523092874433
7232,BPRES-2025-03992,2025-05-16,104000,Addition,Addition,Completed,BAYSIDE,District 13,0,2,Dwelling - Single Detached,44.540532797321355,-63.79202149795325
7233,BPRES-2025-04027,2025-05-29,150000,Addition,Addition,Issued,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.64058622081522,-63.603883740515734
7234,BPRES-2025-04046,2025-03-31,200000,New Building,New Building,Issued,BEECHVILLE,District 12,1,2,Dwelling - Single Detached,44.63858559650038,-63.68193612015222
7235,BPRES-2025-04108,2026-02-18,2500000,New Building,New Building,Issued,EASTERN PASSAGE,District 03,12,2,Dwelling - Multiple Units,44.61565135318212,-63.46659391247219
7236,BPRES-2025-04129,2025-04-07,446000,New Building,New Building,Issued,FALL RIVER,District 01,1,2,Dwelling - Single Detached,44.84367400010077,-63.641141907326684
7237,BPRES-2025-04171,2025-04-14,6000,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,2,Dwelling - Single Detached,44.70628401387461,-63.54506601559816
7238,BPRES-2025-04182,2025-09-22,1000000,New Building,New Building,Issued,DARTMOUTH,District 03,8,3,Dwelling - Multiple Units,44.66544837691402,-63.5378594981814
7239,BPRES-2025-04240,2025-05-23,300000,New Building,New Building,Issued,PORTERS LAKE,District 02,1,2,Dwelling - Single Detached,44.707317733268134,-63.295704499266876
7240,BPRES-2025-04261,2025-05-23,675000,New Building,New Building,Issued,DARTMOUTH,District 06,2,3,Dwelling - Multiple Units,44.71531376368525,-63.53981482457364
7241,BPRES-2025-04316,2025-04-15,400000,New Building,New Building,Completed,EAST LAWRENCETOWN,District 02,1,1,Dwelling - Single Detached,44.6634446402666,-63.322851756361416
7242,BPRES-2025-04344,2025-04-11,50000,Renovation,Renovation,Issued,DARTMOUTH,District 06,0,2,Dwelling - Single Detached,44.67252007412173,-63.54489530325529
7243,BPRES-2025-04397,2025-06-17,75000,New Building,New Building,Completed,SEAFORTH,District 02,1,1,Dwelling - Backyard Suite,44.67124246067,-63.25714302036823
7244,BPRES-2025-04423,2026-04-02,750000,New Building,New Building,Issued,DARTMOUTH,District 05,7,3,Dwelling - Multiple Units,44.67982628243249,-63.58760485297223
7245,BPRES-2025-04439,2025-04-03,210000,New Building,New Building,Completed,HEAD OF JEDDORE,District 02,1,1,Dwelling - Backyard Suite,44.76743999710272,-63.07112582154948
7246,BPRES-2025-04452,2025-04-02,30000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,0,1,Accessory Structure,44.8107756628326,-63.713974460341625
7247,BPRES-2025-04501,2025-04-16,400000,New Building,New Building,Completed,HALIFAX,District 11,4,3,Dwelling - Semi-Detached,44.602030070772834,-63.60459326427363
7248,BPRES-2025-04503,2025-04-15,400000,New Building,New Building,Completed,HALIFAX,District 11,4,3,Dwelling - Semi-Detached,44.601907935788866,-63.60473378196841
7249,BPRES-2025-04537,2025-11-03,40000,New Building,New Building,Issued,DARTMOUTH,District 06,1,2,Dwelling - Backyard Suite,44.68205566211958,-63.52237445231082
7250,BPRES-2025-04554,2025-04-15,8000,New Building,New Building,Completed,FALL RIVER,District 01,0,1,Accessory Structure,44.81518696325604,-63.62717970429635
7251,BPRES-2025-04585,2025-04-22,320000,Addition,Addition,Issued,LOWER SACKVILLE,District 15,0,2,Dwelling - Semi-Detached,44.76710897848672,-63.68077957231236
7252,BPRES-2025-04609,2025-04-08,776000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.80534059557776,-63.76233713953885
