project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Mill Lake Bridge: Highway 103,,Halifax,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
Mossman Road #2 Bridge: Mossman Road,,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Musquodoboit Harbour Bridge: Trunk 7 (multiple year project),,Halifax,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2024-2025,2026-2027,Started,bridges
New Barra Rail Overpass Bridge: Route 223,,Cape Breton,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Open to Traffic,bridges
Northwest Arm Drive Trunk 3 Overpass Bridge: Trunk 3,,Halifax,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
Ogden Brook Bridge: Route 337 (multiple year project),,Antigonish,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2024-2025,2025-2026,Completed,bridges
Pembrooke Bridge: Pembrooke Road,,Yarmouth,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2024-2025,2025-2026,Completed,bridges
Pirate Harbour Bridge: Route 344 (Multiple Year Project),,Guysborough,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2023-2024,2026-2027,Started,bridges
Portobello Overpass Bridge: Highway 118 north bound lane (multiple year project),,Halifax,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2022-2023,2025-2026,Completed,bridges
Pryor McDonald Bridge: Route 347,,Pictou,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2024-2025,2025-2026,Completed,bridges
Rines Creek Bridge: Route 215,,Hants,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
Route 348: from 3.7 km east of North Side West River Road culvert replacement,,Guysborough,Construction/Improvement Projects for 2025-26,Construction Arterial/Collector,2025-2026,2025-2026,Completed,bridges
Sackville River #1 Bridge: South Uniacke Road,,Hants,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2025-2026,2026-2027,Planned,bridges
Salmon River Bridge: Route 311 (Multiple Year Project),,Colchester,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Started,bridges
Smeltzer Brook Culvert: Trunk 14,,Hants,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Planned,bridges
Taylor Mill Culvert: Wittenburg Road,,Colchester,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2025-2026,2025-2026,Completed,bridges
Ten Mile Brook Culvert: Trunk 14,,Hants,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Planned,bridges
Tracadie Lake Underpass Bridge: Highway 104,,Antigonish,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Upper Big Tracadie Culvert: Trunk 16,,Antigonish,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Upper Middle River Bridge: Trunk 30 (multiple year project ),,Inverness,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2023-2024,2026-2027,Started,bridges
Venoit Bridge: Route 331 (King Street) (multiple year project),,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2026-2027,2027-2028,Planned,bridges
Weymouth Bridge: Trunk 1,,Digby,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
Wilson Brook Bridge: Route 224,,Halifax,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
