project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Highway 101: ramps at Exit 21,1.2,Annapolis,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 101: Three Mile Plains to Falmouth twinning & Aboiteau-Dyke Upgrades (multiple year project),0.0,Hants,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2021-2022,2029-2030,Started,roads
Highway 101: west bound lane from km marker 275 westerly to Ellershouse Bridge,6.3,Hants,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 102: Aerotech Connector (multiple year project),1.0,Halifax,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2021-2022,2025-2026,Completed,roads
Highway 102: Expansion Upgrades (Pre-engineering) (multiple year project),0.0,Halifax,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2025-2026,Started,roads
Highway 102: north bound lane between Exit 11 and Exit 12 (km marker 74.7 to 80.5),5.8,Colchester,Asphalt Projects for 2026-27,Repaving 100 Series Highways,2026-2027,2026-2027,Planned,roads
Highway 102: north bound lane from km marker 94 to 95,1.0,Colchester,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2026-2027,2025-2026,Started,roads
Highway 102: south bound lane Exit 13A km marker 93 to km marker 86.7,6.3,Colchester,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 102: south bound lane from Exit 8 (km marker 48) southerly to Exit 7 (km marker 41),7.0,Hants,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 102: south bound lane from km marker 86.7 to km marker 79.5,7.2,Colchester,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 102: south bound lane from Shubenaacadie River Bridge at km marker 66 southerly to Exit 9 (km marker 57),8.7,Hants,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 103: from Northfield Overpass easterly to Exit 11,5.0,Lunenburg,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 103: Twinning: Exit 6 to Exit 8 (Multiple Year Project),0.0,Lunenburg,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2024-2025,2029-2030,Started,roads
Highway 103: west bound lane from Beechville CNR Overpass westerly to Exit 3,5.7,Halifax,Asphalt Projects for 2026-27,Repaving 100 Series Highways,2026-2027,2026-2027,Planned,roads
Highway 104: Aulds Cove scale replacement,0.0,Guysborough,Construction/Improvement Projects for 2026-27,Construction 100 Series Highways,2026-2027,2026-2027,Planned,roads
Highway 104: from km marker 250 easterly to Tracadie Harbour Underpass,1.5,Antigonish,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 104: twinning: Taylors Road to Paqtnkek (multiple-year project),0.0,Antigonish,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2024-2025,2029-2030,Started,roads
Highway 104: west bound Exit 15 Off Ramp from Highway 104 (west bound lane) to Highway 102 (south bound lane),1.1,Colchester,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2026-2027,2025-2026,Started,roads
Highway 104: west bound lane from Exit 5 Area (km marker 30.6 to 27.3),3.3,Cumberland,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
"Highway 105/104: Port Hastings, Rotary Upgrades (Multiple Year Project)",0.0,Inverness,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2030-2031,Started,roads
Highway 105: from 0.13 km west of km marker 54 easterly to MacKay Bridge,4.5,Inverness,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 105: from Highway 223 (Exit 6) easterly,6.7,Victoria,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 105: from km marker 14.5 northerly to 1.8 km east of Cameron Mountain Road,8.8,Inverness,Asphalt Projects for 2026-27,Repaving 100 Series Highways,2026-2027,2026-2027,Planned,roads
Highway 105: Great Bras D'Or Crossing (Seal Island Bridge) (multiple-year project),0.0,Victoria,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2028-2029,Started,roads
"Highway 107: Exit 17 to 18 Wildlife Mitigation, access improvements",0.0,Halifax,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2025-2026,Completed,roads
"Highway 107: Exit 18 to 19 Passing Lanes, access improvements",0.0,Halifax,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2022-2023,2026-2027,Started,roads
Highway 107 twinning: Burnside to Lake Loon (multiple year project),0.0,Halifax,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2024-2025,2028-2029,Started,roads
"Highway 111/118: Intersection lighting upgrades from Victoria Road Interchange to Pleasant Street, access improvements",0.0,Halifax,Major Construction Projects for 2026-27,100 Series Expansion & Other Major Road Upgrades,2026-2027,2026-2027,Planned,roads
