community,zone_class,polygons,area,area_share
PORTUGUESE COVE,Rural and Resource,3,0.0052,0.35
PROSPECT,Commercial,1,0.0026,0.06
PROSPECT,Industrial,1,0.0003,0.01
PROSPECT,Institutional,2,0.0082,0.20
PROSPECT,Other,1,0.0021,0.05
PROSPECT,Park and Open Space,27,1.6746,41.25
PROSPECT,Rural and Resource,14,2.3717,58.42
PROSPECT BAY,Commercial,1,0.0045,0.18
PROSPECT BAY,Industrial,1,0.0185,0.72
PROSPECT BAY,Institutional,2,0.0250,0.97
PROSPECT BAY,Other,2,0.0060,0.23
PROSPECT BAY,Park and Open Space,7,0.4830,18.74
PROSPECT BAY,Residential,1,0.0204,0.79
PROSPECT BAY,Rural and Resource,14,2.0198,78.37
QUEENSLAND,Industrial,1,0.0092,0.38
QUEENSLAND,Mixed Use,9,2.3596,98.20
QUEENSLAND,Park and Open Space,3,0.0341,1.42
RIVER LAKE,Park and Open Space,1,0.7291,0.33
RIVER LAKE,Rural and Resource,6,217.5518,99.67
SALMON RIVER BRIDGE,Mixed Use,3,0.1223,14.91
SALMON RIVER BRIDGE,Park and Open Space,2,0.6980,85.09
SAMBRO,Commercial,1,0.0019,0.07
SAMBRO,Other,6,0.3816,14.87
SAMBRO,Park and Open Space,13,1.7819,69.44
SAMBRO,Residential,4,0.2145,8.36
SAMBRO,Rural and Resource,5,0.1863,7.26
SAMBRO CREEK,Park and Open Space,4,3.1047,81.08
SAMBRO CREEK,Rural and Resource,10,0.7242,18.92
SAMBRO HEAD,Residential,6,0.9029,48.24
SAMBRO HEAD,Rural and Resource,7,0.9686,51.76
SEABRIGHT,Mixed Use,11,2.0389,61.59
SEABRIGHT,Residential,6,0.9180,27.73
SEABRIGHT,Rural and Resource,7,0.3536,10.68
SEAFORTH,Rural and Resource,38,2.2033,100.00
SHAD BAY,Commercial,4,0.0611,3.13
SHAD BAY,Industrial,2,0.0138,0.71
SHAD BAY,Institutional,2,0.0108,0.56
SHAD BAY,Park and Open Space,2,0.0711,3.65
SHAD BAY,Residential,13,0.6596,33.83
SHAD BAY,Rural and Resource,2,1.1333,58.12
SHEARWATER,Institutional,2,0.7015,18.75
SHEARWATER,Mixed Use,1,2.9142,77.89
SHEARWATER,Other,1,0.1150,3.07
SHEARWATER,Park and Open Space,1,0.0106,0.28
SHEET HARBOUR,Industrial,3,0.2652,1.14
SHEET HARBOUR,Mixed Use,22,4.3856,18.88
SHEET HARBOUR,Park and Open Space,2,0.0620,0.27
SHEET HARBOUR,Rural and Resource,3,18.5170,79.71
SHEET HARBOUR PASSAGE,Park and Open Space,6,1.0715,90.22
SHEET HARBOUR PASSAGE,Rural and Resource,2,0.1162,9.78
SHIP HARBOUR,Mixed Use,8,5.2474,95.43
SHIP HARBOUR,Park and Open Space,4,0.0687,1.25
SHIP HARBOUR,Rural and Resource,3,0.1827,3.32
SMITHS SETTLEMENT,Mixed Use,2,0.0040,100.00
SOBER ISLAND,Park and Open Space,1,0.0420,1.11
SOBER ISLAND,Rural and Resource,1,3.7313,98.89
SOUTHWEST COVE,Mixed Use,5,0.7831,32.45
SOUTHWEST COVE,Park and Open Space,7,1.6303,67.55
SPRY BAY,Park and Open Space,4,5.6387,63.25
SPRY BAY,Rural and Resource,10,3.2756,36.75
SPRY HARBOUR,Rural and Resource,1,0.3559,100.00
STILLWATER LAKE,Institutional,2,0.9140,31.97
STILLWATER LAKE,Park and Open Space,1,0.0001,0.00
STILLWATER LAKE,Residential,27,1.7281,60.43
STILLWATER LAKE,Rural and Resource,1,0.2172,7.60
TANGIER,Park and Open Space,2,0.6160,5.62
TANGIER,Rural and Resource,17,10.3385,94.38
TANTALLON,Mixed Use,8,0.5558,10.57
TANTALLON,Rural and Resource,21,4.7042,89.43
TEN MILE LAKE,Mixed Use,3,346.2260,100.00
TERENCE BAY,Commercial,3,0.0076,0.03
TERENCE BAY,Institutional,4,0.0122,0.05
TERENCE BAY,Mixed Use,16,2.4106,9.84
TERENCE BAY,Other,6,0.0173,0.07
TERENCE BAY,Park and Open Space,108,18.5465,75.67
TERENCE BAY,Residential,2,0.2767,1.13
TERENCE BAY,Rural and Resource,10,3.2377,13.21
THIRD LAKE,Park and Open Space,1,0.0003,0.05
THIRD LAKE,Rural and Resource,2,0.7504,99.95
THREE FATHOM HARBOUR,Industrial,1,0.0151,0.74
THREE FATHOM HARBOUR,Residential,3,0.2205,10.83
THREE FATHOM HARBOUR,Rural and Resource,13,1.8003,88.43
TIMBERLEA,Commercial,17,0.0702,0.48
TIMBERLEA,Institutional,7,0.0633,0.44
TIMBERLEA,Mixed Use,1,0.3179,2.19
TIMBERLEA,Other,12,3.3207,22.89
TIMBERLEA,Park and Open Space,22,5.7560,39.68
TIMBERLEA,Residential,120,3.9448,27.19
TIMBERLEA,Rural and Resource,8,1.0334,7.12
TRAFALGAR,Mixed Use,1,16.7486,100.00
UPPER HAMMONDS PLAINS,Other,7,7.8894,29.98
UPPER HAMMONDS PLAINS,Park and Open Space,15,16.3137,61.98
UPPER HAMMONDS PLAINS,Rural and Resource,2,2.1158,8.04
UPPER LAKEVILLE,Mixed Use,2,0.1761,100.00
UPPER MUSQUODOBOIT,Mixed Use,2,2.7186,36.09
UPPER MUSQUODOBOIT,Other,1,3.8759,51.46
UPPER MUSQUODOBOIT,Park and Open Space,3,0.9374,12.45
