species_rank,species_common,species_scientific,tree_count,share_of_all_pct
201,English Hawthorn,Cartaegus laevigata,3,0.00
202,Grand fir,Abies grandis,3,0.00
203,Peach,Prunus persica,3,0.00
204,Rose of Sharon,Hibiscus syriacus,3,0.00
205,Sargent Cherry,Prunus sargentii,3,0.00
206,Sassafras,Sassafras albidum,3,0.00
207,Winged Elm,Ulmus alata,3,0.00
208,Atlas Cedar,Cedrus atlantica,2,0.00
209,Beaked Hazelnut,Corylus cornuta,2,0.00
210,Black Hickory,Carya texana,2,0.00
211,Bosnian Pine,Pinus heldreichii,2,0.00
212,Douglas Fir,Pseudotsuga menziesii,2,0.00
213,Fringetree,Chionanthus virginicus,2,0.00
214,Goldenrain Tree,Koelreuteria paniculata,2,0.00
215,Gutta-percha,Palaquium gutta,2,0.00
216,Hinoki False Cypress,Chamaecyparis obtusa,2,0.00
217,Hydrangea,Hydrangea (genus),2,0.00
218,Japanese Umbrella Pine,Sciadopitys verticillata,2,0.00
219,Japanese yew,Taxus cuspidata,2,0.00
220,Korean Fir,Abies koreana,2,0.00
221,Pagoda Dogwood,Cornus alternifolia,2,0.00
222,Pioneer elm,Ulmus hollandica,2,0.00
223,Tea Crabapple,Malus hupehensis,2,0.00
224,Trident Maple,Acer buergerianum,2,0.00
225,Yellow Catalpa,Catalpa ovata,2,0.00
226,Yulan Magnolia,Magnolia denudata,2,0.00
227,American Plum,Prunus americana,1,0.00
228,Amur Maackia,Maackia amurensis,1,0.00
229,Asian Hazelnut,Corylus heterophylla,1,0.00
230,Autumn Brilliance Serviceberry,Amelanchier x grandiflora,1,0.00
231,Giant Hazel,Corylus maxima,1,0.00
232,Grey Alder,Alnus incana,1,0.00
233,Himalayan White Birch,Betula utilis,1,0.00
234,Japanese Barberry,Berberis thunbergii,1,0.00
235,Lewis mock-orange,Philadelphus lewisii,1,0.00
236,Loebner Magnolia,Magnolia x loebneri,1,0.00
237,Loquat,Eriobotrya japonica,1,0.00
238,Narrowleaf meadowsweet,Spiraea alba,1,0.00
239,Oriental bittersweet,Celastrus orbiculatus,1,0.00
240,Pecan,Carya illinoinensis,1,0.00
241,Post Oak,Quercus stellata,1,0.00
242,Rock Elm,Ulmus thomasii,1,0.00
243,Sand Hickory,Carya pallida,1,0.00
244,Seven-sons tree,Heptacodium miconioides,1,0.00
245,Shrubby cinquefoil,Dasiphora fruticosa,1,0.00
246,Smoothleaf Elm,Ulmus carpinifolia,1,0.00
247,Tropical Ash,Fraxinus uhdei,1,0.00
248,Umbrella Magnolia,Magnolia tripetala,1,0.00
249,Washington Hawthorn,Crataegus phaenopyrum,1,0.00
250,Wolf Willow,Elaeagnus commutata,1,0.00
