"facility_name","address","town","postal_code","facility_type","nursing_homes_nh_no_of_beds","nursing_homes_nh_no_of_respite_beds","residential_care_facilities_rcf_no_of_beds","rcf_respite_beds","single_entry_access_sea_participating","x_coordinate","y_coordinate","location","zone","the_geom","facility_id"
"Musquodoboit Valley Home For Special Care","126 Higginsville Road","Middle Musquodoboit","B0N 1X0","Nursing Home","29.0","0.0","0.0","0.0","Y","-63.139962","45.039974","
,  
(45.039974, -63.139962)","Central","POINT (488976.2408999996 4987399.954600001)","MDBV"
"Milford Haven Home for Special Care","10558 Highway 16","Guysborough","B0H 1N0","Nursing Home","50.0","1.0","0.0","0.0","Y","-61.507094","45.402112","
,  
(45.402112, -61.507094)","Eastern","POINT (616837.5926999999 5028704.3497)","MFHV"
"Maple Hill Manor","700 King Street","New Waterford","B1H 3Z5","Nursing Home and Residential Care Facility","50.0","0.0","13.0","0.0","Y","-60.085433","46.240712","
,  
(46.240712, -60.085433)","Eastern","POINT (724696.5361000001 5124921.2838)","MHMN"
"The Magnolia","416 Highway 2","Enfield","B2T 1E1","Nursing Home","71.0","0.0","0.0","0.0","Y","-63.527477","44.951327","
,  
(44.951327, -63.527477)","Northern","POINT (458391.4358999999 4977677.8641)","MNCC"
"Miners' Memorial Manor","15 Lorne Street","Sydney Mines","B1V 3B9","Nursing Home and Residential Care Facility","38.0","0.0","13.0","0.0","Y","-60.218297","46.239598","
,  
(46.239598, -60.218297)","Eastern","POINT (714458.2785 5124429.2487)","MNMM"
"Moody Hall","7 Huntley Drive","Halifax","B3M 0R8","Nursing Home","144.0","0.0","0.0","0.0","Y","-63.67977","44.697879","
,  
(44.697879, -63.67977)","Central","POINT (446142.7400000002 4949613.171399999)","MODH"
"Maritime Odd Fellows' Home","143 Norway Point Road","Pictou","B0K 1H0","Nursing Home","46.0","1.0","0.0","0.0","Y","-62.72262","45.673232","
,  
(45.673232, -62.72262)","Northern","POINT (521604.0837000003 5057779.171800001)","MOFH"
"The Mira Nursing Home","426 Young Street","Truro","B2N 7B1","Nursing Home","89.0","1.0","0.0","0.0","Y","-63.274797","45.348082","
,  
(45.348082, -63.274797)","Northern","POINT (478473.1671000002 5021654.984300001)","MRNH"
"Maplestone Enhanced Care","245 Main Avenue","Halifax","B3M 1B7","Nursing Home","86.0","1.0","0.0","0.0","Y","-63.649208","44.653743","
,  
(44.653743, -63.649208)","Central","POINT (448525.2185000004 4944690.7432)","MSEC"
"Mountain Lea Lodge","170 Church Street","Bridgetown North","B0S 1C0","Nursing Home","107.0","0.0","0.0","0.0","Y","-65.292608","44.848887","
,  
(44.848887, -65.292608)","Western","POINT (318832.79619999975 4968720.066400001)","MTLL"
"Mitchell's Rest Home","5153 Highway 14","Upper Nine Mile River","B2S 3A6","Residential Care Facility","0.0","0.0","3.0","0.0","Y","-63.646604","45.081881","
,  
(45.081881, -63.646604)","Northern","POINT (449110.1144000003 4992248.825099999)","MTRH"
"Melville Gardens","11 Ramsgate Lane","Halifax","B3P 2S9","Nursing Home and Residential Care Facility","61.0","0.0","30.0","0.0","Y","-63.614637","44.632004","
,  
(44.632004, -63.614637)","Central","POINT (451247.9461000003 4942255.1631000005)","MVGD"
"Melville Lodge","50 Shoreham Lane","Halifax","B3P 2R3","Nursing Home","123.0","1.0","0.0","0.0","Y","-63.615251","44.629561","
,  
(44.629561, -63.615251)","Central","POINT (451196.9949000003 4941983.6075)","MVLG"
"Maplewood Manor","150 Blair Avenue","Tatamagouche","B0K 1V0","Residential Care Facility","0.0","0.0","6.0","0.0","Y","-63.294136","45.710399","
,  
(45.710399, -63.294136)","Northern","POINT (477105.5229000002 5061912.4472)","MWMN"
