objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
528,Terence Bay Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,38.84,,439
227,Port Joli Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,38.33,,440
338,Docherty's Brook Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,38.24,,441
1118,Sugar Harbour Islands Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,38.08,,442
658,Brier Island Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,38.03,,443
772,River Inhabitants Nature Reserve,Nature Reserve,"NS Environment and Climate Change, private owner(s)",Private owner(s),Designated,37.78,,444
577,Lime Hill Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,37.68,,445
621,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,37.57,,446
1110,Devils Jaw Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,37.57,,447
483,Ragged Harbour Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,37.51,,448
933,Mabou Highlands Conservation Lands (3),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,37.49,,449
341,Hemlock Hill Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,37.35,,450
513,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,37.20,,451
1072,Mattatall Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,37.10,,452
738,John Forbes Thompson Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,36.97,,453
615,MacDonalds Pond Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,36.91,,454
270,Gerard Island Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,36.84,,455
204,Mabou Highlands Conservation Lands (3),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,36.78,,456
453,Musquodoboit Harbour Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,36.64,,457
1117,East River St. Marys Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,36.35,,458
549,The Bend Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,36.32,,459
557,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,36.00,,460
307,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,35.93,,461
437,Musquodoboit Harbour Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,35.56,,462
575,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,35.41,,463
462,Lake Annis Nature Reserve,Nature Reserve,"NS Environment and Climate Change, private owner(s)",Private owner(s),Designated,35.39,,464
490,Boar's Head Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,35.30,,465
895,Mabou Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,35.20,,466
612,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,35.04,,467
326,Monks Head Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,34.34,,468
167,Drug Brook Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,34.30,,469
465,Tusket River Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,34.17,,470
995,Morrison Lake Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,33.68,,471
1157,St. Andrews River Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,32.86,,472
857,Skudiak Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,32.67,,473
487,Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,32.55,,474
165,Caribou Rivers Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,32.37,,475
510,Silver River - Long Tusket Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,32.31,,476
786,Black River Bog Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,32.16,,477
560,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.88,,478
231,Musquodoboit Harbour Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.68,,479
1108,Fourchu Coast Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,31.21,,480
1065,Haley Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.19,,481
660,Brier Island Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.16,,482
448,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.10,,483
422,MacKenzie Cove Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,31.05,,484
384,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,31.00,,485
431,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,30.56,,486
620,Pu'tlaqne'katik,"Wilderness Area, Conservation Easement",NS Environment and Climate Change,NS Environment and Climate Change,Designated,30.52,,487
640,Lobster Bay Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,30.31,,488
449,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,30.29,,489
257,Lake Annis Nature Reserve,Nature Reserve,"NS Environment and Climate Change, private owner(s)",Private owner(s),Designated,30.27,,490
438,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,30.18,,491
1015,Argyle Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,30.01,,492
421,MacKenzie Cove Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,29.84,,493
54,Tiddville Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,29.77,,494
1107,Fourchu Coast Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,29.42,,495
971,Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,29.32,,496
606,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,29.24,,497
724,Cherry Hill Beach Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,29.16,,498
881,Johnstons Pond Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,29.11,,499
420,Wentworth Conservation Lands (2),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,28.87,,500
317,Round Bay Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.74,,501
1069,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.65,,502
353,Docherty's Brook Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.64,,503
308,Shelter Cove Wilderness Sanctuary,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,28.60,,504
