"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"292","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.65858831","566.1875752420414","16585.88314995872"
"293","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"16.48142571","3014.1736608094143","164814.2571000002"
"294","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"6.22932614","1527.1583847701095","62293.261449947975"
"295","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.10420752","554.4318343687412","11042.075199964536"
"296","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"8.62942167","1575.505102295422","86294.21669991117"
"297","Bowers Meadows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"49.80299217","2974.5064208264025","498029.9217005015"
"298","Bowers Meadows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"56.7348762","4065.844148141389","567348.761999984"
"299","Troop Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.35050115","728.9988236985446","23505.011549993844"
"300","Troop Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.77710776","355.0134614554923","7771.0776499872945"
"301","Troop Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.10929718","611.360212220666","21092.971750013876"
"302","Troop Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"3.10633975","892.8792188096427","31063.397549957288"
"303","Troop Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.90136775","380.10455050631367","9013.677499955926"
"304","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.74649115","835.8815133567663","17464.911500022117"
"305","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.64636055","413.7884460924956","6463.605499957281"
"306","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"12.11421736","1788.5313284063657","121142.17355013492"
"307","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"35.92747828","2626.4030375836905","359274.7827999376"
"308","Shelter Cove Wilderness Sanctuary","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"28.60055319","5497.837133333216","286005.53189994895"
"309","Gerard Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"25.17509508","3450.3570627861945","251750.95075051198"
"310","Gerard Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"16.94315648","2262.3341653216794","169431.56484970753"
"311","Tangier River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"48.32674838","6699.540638898357","483267.4837500042"
"312","Bowers Meadows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"5.27643502","1237.813930225003","52764.35019994781"
"313","Bowers Meadows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"43.01878576","4880.255247964913","430187.8575502473"
"314","Bowers Meadows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"42.93635922","4555.663920001016","429363.5922495223"
"315","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"24.6853236","2920.7576034385","246853.2360499205"
"316","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"5.897011210000001","1102.9635688430371","58970.11214977581"
"317","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"28.74400287","3207.4102696288896","287440.0286502055"
"318","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.43265114","344.49203822469957","4326.511350015399"
"319","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.39270998","352.34206214829476","3927.0997999377405"
"320","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.35593047","285.7009574576529","3559.304650008281"
"321","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.40087287","302.59021558480333","4008.7286999472335"
"322","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.58681084","400.0544386832944","5868.108350020329"
"323","Mahone Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.74846351","544.7384080190714","17484.63505000219"
"324","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.73797397","789.9639544403074","27379.73970001042"
"325","Monks Head Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"27.76662376","2674.6806767183066","277666.23759987426"
"326","Monks Head Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"34.33817704","3294.070103384634","343381.7704002534"
"327","Monks Head Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"5.70043766","1326.7744796833515","57004.376600039766"
"328","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"65.92178289","8157.709156512575","659217.8289001887"
"329","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"27.65606541","3356.106166015009","276560.65410021273"
"330","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"7.96151163","1475.8407277993915","79615.11634962466"
"331","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"8.83592755","1929.4010597786923","88359.27550030986"
"332","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"14.25881903","1747.5286147165205","142588.19034997156"
"333","Dr. Bill Freedman Nature Reserve","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"4.75454972","1156.3512507875553","47545.49724994615"
"334","Dr. Bill Freedman Nature Reserve","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"102.27419767","7253.422154659312","1022741.9766505044"
"335","Dr. Bill Freedman Nature Reserve","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"10.79628984","1680.3377544115249","107962.89844984878"
"336","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"20.2180929","1879.3832492125389","202180.92899995757"
"337","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.09136025","609.074526288851","20913.602500006637"
"338","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"38.23559634","2651.404586885934","382355.96339897445"
"339","Monks Head Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"16.77517969","2285.0748761213626","167751.796900061"
"340","Hemlock Hill Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.08903796","146.9134291456553","890.3796499814264"
"341","Hemlock Hill Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"37.34610094","3992.292387704948","373461.0093502484"
"342","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.69852346","661.2000699624704","26985.23460001577"
"343","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.18407146","191.48236972065558","1840.714599982574"
"344","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"11.66602452","1519.245699975104","116660.24515007758"
"345","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"19.68895535","2529.0011155242673","196889.55345031875"
"346","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"6.5189598","1569.3341988935945","65189.597950028525"
"347","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.85224113","415.3221782828953","8522.41129990681"
"348","Pennant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"103.28834025","8919.798933960485","1032883.4024997952"
"349","Pennant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"26.42415035","4501.864187785193","264241.50349996117"
"350","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"41.96231629","2847.007422716626","419623.1628505274"
"351","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"9.66722637","1288.6045614119591","96672.26369984337"
"352","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.26298712","253.46465559880906","2629.871249986473"
"353","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"28.63670905","2168.6301416886895","286367.09054995695"
"354","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"45.86903362","3047.5425540448896","458690.33619975345"
"355","Docherty's Brook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"4.37461696","957.5063594250637","43746.169599734916"
"356","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"12.49631117","1930.8390241129307","124963.1117000908"
"357","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.41753119","271.9614418577573","4175.311900037806"
"358","Mitchells Pool Consevation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"19.53556192","2153.9631283173726","195355.61920012755"
"359","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"6.08671804","1023.3070747533077","60867.18035011899"
"360","Hemlock Hill Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"8.97800398","1402.893273911544","89780.03984999744"
"361","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"1.21753482","600.9036868907457","12175.34820001685"
"362","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.93378945","775.000939657567","29337.89454991292"
"363","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.19661476","204.77190551036634","1966.1476000190505"
"364","Round Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"11.68535605","2561.7551049226904","116853.56049952038"
"365","Hemeon's Head Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"66.73657648","6385.319169241646","667365.76479977"
"366","Pennant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.12772305","515.7776047666644","1277.2304500258106"
"367","Pennant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.11047889","174.3090780968158","1104.7889000204125"
"368","Pennant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.0166067","70.06185784586812","166.06699999946358"
"369","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"25.41241854","2130.2782044646515","254124.1853998038"
"370","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"90.02174217","4807.09623491619","900217.4217494415"
"371","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.01253858","679.3505893084018","20125.385750216836"
"372","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.68136731","416.9560857951543","6813.673100023336"
"373","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"3.06445877","766.3188119305358","30644.587650010537"
"374","Hemlock Hill Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"4.66221713","1010.2566458926043","46622.17130000855"
"375","St. Marys River - Crows Nest Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"58.00686035","6148.694234443341","580068.6034504293"
"376","Mitchells Pool Consevation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"1.04134498","607.2680667285825","10413.449849993654"
"377","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"5.96991548","1170.8313919838001","59699.15484982922"
"378","Johnstons Pond Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"100.88652667","5697.473342897436","1008865.2667008595"
"379","Johnstons Pond Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"26.12347829","2450.671340998355","261234.7829499188"
"380","Johnstons Pond Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"12.91249028","3180.342428809293","129124.9027999842"
"381","Purcells Cove Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"11.67251533","3170.680068546921","116725.15325008522"
"382","Purcells Cove Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"8.71576098","2765.51168193203","87157.60980012413"
"383","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"26.5726832","3034.732378998535","265726.8320498592"
"384","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"30.99944971","2837.6452277914295","309994.49705067533"
"385","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"10.59190207","1655.2446674023336","105919.0206500747"
"386","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"12.70551132","2010.8928120265948","127055.11319990979"
"387","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"11.94655402","2649.497118643577","119465.54015025122"
"388","St. Marys River - Harrisons Pool Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"13.00735592","1593.065003430819","130073.55915032713"
"389","St. Marys River Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.93786228","465.4887992834881","9378.622750103179"
"390","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"62.21093896","7451.362462583765","622109.3896004969"
"391","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"9.83497563","2741.092346933474","98349.75630007552"
"392","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"102.7684295","4565.88479588113","1027684.29500137"
"393","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"11.87886402","1698.155526593463","118788.64024972387"
"394","Captain Arnell Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"11.24927532","3206.8473407944525","112492.75320003428"
"395","Minas Basin Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"42.61187204","4095.0302801963867","426118.7203998097"
"396","Minas Basin Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"13.78766828","2218.7759007473937","137876.68279987236"
"397","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"23.44207993","3429.448612533178","234420.7992998295"
"398","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"22.85177207","2512.0616765885243","228517.72069986592"
"399","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"9.04632087","1561.2029551839455","90463.20869987647"
"400","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"43.58580554","2809.750381004643","435858.0554003623"
"401","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"27.99846285","2150.914482750674","279984.6284504601"
"402","St. Marys River Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"44.97337059","4686.920039522165","449733.7058999501"
"403","St. Marys River Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"57.68318912","5338.057726193124","576831.8911500542"
"404","St. Marys River Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.10002109","141.63185156006938","1000.2108999980319"
"405","MacKenzie Cove Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"19.56217982","3215.406807176337","195621.79815012007"
"406","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"25.45328471","2690.2512170561495","254532.84709957318"
"407","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"14.64441027","2030.1811975278968","146444.10270008372"
"408","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"0.14615024","191.23361651137427","1461.5023999984446"
"409","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"7.96699311","1780.8450285705162","79669.9311004268"
"410","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"7.13875897","1583.8538288793304","71387.58969992868"
"411","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"5.39856863","1283.0421135960778","53985.686299859655"
"412","Minas Basin Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"16.93319408","2221.841042764331","169331.94075004876"
"413","Minas Basin Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"7.13227352","1522.283262870228","71322.735150067"
"414","Minas Basin Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.78730502","695.9954872933921","17873.05019995273"
"415","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"40.02566885","2635.3886183922555","400256.6884998447"
"416","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"28.13585812","3899.737833432671","281358.58115065563"
"417","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"50.41856602","3742.9244915606273","504185.66019968165"
"418","Pugwash River Estuary Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"23.52609029","3893.8787035993105","235260.9028504198"
"419","Wentworth Conservation Lands (2)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"15.86650219","2012.0956745249543","158665.02189975075"
"420","Wentworth Conservation Lands (2)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"28.87405013","2230.850420427224","288740.50125001266"
"421","MacKenzie Cove Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"29.84169904","2820.0423644323278","298416.9904001154"
"422","MacKenzie Cove Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"31.0484695","2857.0857876854943","310484.6950498404"
"423","Marble Mountain Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"68.74403445","4514.909945539008","687440.3444502151"
"424","Little Narrows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"25.1645589","2439.3829297794655","251645.58899976235"
"425","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"4.95434613","1136.5887447526597","49543.46130028578"
"426","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"66.678275","5355.307077795696","666782.750001321"
"427","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.4889282","545.6832874272573","14889.282000094732"
"428","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"17.55703919","3925.9903281664306","175570.3918996537"
"429","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"13.09717008","2859.253883483593","130971.70079967975"
"430","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"12.82801287","1527.0807354939957","128280.12870011822"
"431","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"30.55564506","2332.6244623530806","305556.45064973563"
"432","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"16.95298615","2308.377256907193","169529.86150052733"
"433","Chignecto Isthmus Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"28.34610609","2097.591218058961","283461.06090009323"
"434","French River Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"267.31521676","12130.154189288483","2673152.167600522"
"435","Cook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"42.70225428","3061.5408970866483","427022.5428003036"
"436","Cook Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"56.12884216","3763.5823860034416","561288.4215995944"
"437","Musquodoboit Harbour Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"35.55989174","4260.275577867961","355598.9174004922"
"438","Little Narrows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"30.18320073","4139.1211910334905","301832.0072999223"
"439","Little Narrows Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"27.40063868","2853.13788545549","274006.3868001969"
