"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"806","Purgatory Point Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"0.1204137","182.4494465876524","1204.136950020425"
"807","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"14.23895706","3179.4445291926195","142389.57059944217"
"808","Baddeck River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"3.7587679","828.7941144904096","37587.67904990693"
"809","Baddeck River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.34599416","624.800202436965","23459.941599969094"
"810","Yellow Head Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"9.61685158","1369.4071915536692","96168.51580032388"
"811","Yellow Head Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"5.14253515","2385.139139747475","51425.35145010138"
"812","Yellow Head Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.60582096","462.05738867705026","6058.209599993806"
"813","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"27.573613860000002","2573.3204256260838","275736.138590289"
"814","Blanche Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"14.43120938","2926.522668786674","144312.09375548497"
"815","Gold River Lake Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"178.74430459","12817.768787116596","1787443.0458996177"
"816","Gold River Lake Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"22.93426353","2238.1495742054653","229342.6353499665"
"817","Gold River Lake Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"10.79626689","1849.2837511457637","107962.66885047429"
"818","Gold River Lake Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"10.43050369","1714.8208073987732","104305.03694948425"
"819","Gold River Lake Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"10.46751911","1695.1723833870174","104675.19110001359"
"820","Farley's Ark Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"15.99357512","1840.2659078816446","159935.75120006737"
"821","Farley's Ark Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"0.18140824","225.1874023877645","1814.0824499908613"
