"year","zone","type","site","temporary","scheduled","total"
"2021-22","3","CEC","New Waterford Consolidated Hospital","0.0","8760.0","8760.0"
"2021-22","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2021-22","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2021-22","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2021-22","4","Community","Eastern Shore Memorial Hospital","6095.0","0.0","6095.0"
"2021-22","4","Community","Hants Community Hospital","59.8","0.0","59.8"
"2021-22","4","CEC","Musquodoboit Valley Memorial Hospital","2864.0","4380.0","7244.0"
"2021-22","4","CEC","Twin Oaks Memorial Hospital","1253.6","0.0","1253.6"
"2021-22","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2020-21","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2020-21","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2020-21","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2020-21","1","Community","Digby General Hospital","50.0","0.0","50.0"
"2020-21","1","Community","Fishermen's Memorial Hospital","58.0","3285.0","3343.0"
"2020-21","1","Community","Roseway Hospital","1038.0","0.0","1038.0"
"2020-21","1","Community","Soldiers Memorial Hospital","1071.0","0.0","1071.0"
"2020-21","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2020-21","1","CEC","Annapolis Community Health Centre","124.0","580.0","704.0"
"2020-21","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2020-21","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2020-21","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2020-21","2","CEC","All Saints Springhill Hospital","0.0","8760.0","8760.0"
"2020-21","2","CEC","North Cumberland Memorial Hospital","0.0","4380.0","4380.0"
"2020-21","2","CEC","South Cumberland Community Care Centre","0.0","8760.0","8760.0"
"2020-21","2","CEC","Lillian Fraser Memorial Hospital","0.0","5455.0","5455.0"
"2020-21","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2020-21","3","Regional","St. Martha's Regional Hospital","0.0","0.0","0.0"
"2020-21","3","Community","Eastern Memorial Hospital","352.0","1152.0","1504.0"
"2020-21","3","Community","Guysborough Memorial Hospital","915.0","0.0","915.0"
"2020-21","3","Community","St. Anne Community & Nursing Care Centre","1675.0","0.0","1675.0"
"2020-21","3","Community","St. Mary's Memorial Hospital","0.0","0.0","0.0"
"2020-21","3","Community","Strait Richmond Hospital","1400.0","0.0","1400.0"
"2020-21","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2020-21","3","Community","Glace Bay Health Care Facility","1004.0","0.0","1004.0"
"2020-21","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2020-21","3","Community","Victoria County Memorial Hospital","2324.5","0.0","2324.5"
"2020-21","3","Community","Northside General Hospital","0.0","8760.0","8760.0"
"2020-21","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2020-21","3","CEC","New Waterford Consolidated Hospital","0.0","8760.0","8760.0"
"2020-21","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2020-21","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2020-21","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2020-21","4","Community","Eastern Shore Memorial Hospital","2063.0","0.0","2063.0"
"2020-21","4","Community","Hants Community Hospital","10.5","0.0","10.5"
"2020-21","4","CEC","Musquodoboit Valley Memorial Hospital","1945.0","4380.0","6325.0"
"2020-21","4","CEC","Twin Oaks Memorial Hospital","1026.0","0.0","1026.0"
"2020-21","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2019-20","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2019-20","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2019-20","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2019-20","1","Community","Digby General Hospital","203.0","0.0","203.0"
"2019-20","1","Community","Fishermen's Memorial Hospital","1409.0","3294.0","4703.0"
"2019-20","1","Community","Roseway Hospital","2659.0","0.0","2659.0"
"2019-20","1","Community","Soldiers Memorial Hospital","770.0","0.0","770.0"
"2019-20","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2019-20","1","CEC","Annapolis Community Health Centre","1534.0","1260.0","2794.0"
"2019-20","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2019-20","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2019-20","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2019-20","2","CEC","All Saints Springhill Hospital","2295.5","88.0","2383.5"
"2019-20","2","CEC","North Cumberland Memorial Hospital","2402.0","0.0","2402.0"
"2019-20","2","CEC","South Cumberland Community Care Centre","2249.5","279.5","2529.0"
"2019-20","2","CEC","Lillian Fraser Memorial Hospital","884.0","1048.0","1932.0"
"2019-20","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2019-20","3","Regional","St. Martha's Regional Hospital","0.0","0.0","0.0"
"2019-20","3","Community","Eastern Memorial Hospital","476.0","3660.0","4136.0"
"2019-20","3","Community","Guysborough Memorial Hospital","266.0","0.0","266.0"
"2019-20","3","Community","St. Anne Community & Nursing Care Centre","1615.0","204.0","1819.0"
"2019-20","3","Community","St. Mary's Memorial Hospital","0.0","0.0","0.0"
"2019-20","3","Community","Strait Richmond Hospital","2164.0","0.0","2164.0"
"2019-20","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2019-20","3","Community","Glace Bay Health Care Facility","3911.0","2814.0","6725.0"
"2019-20","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2019-20","3","Community","Victoria County Memorial Hospital","1579.5","0.0","1579.5"
"2019-20","3","Community","Northside General Hospital","2125.0","5867.0","7992.0"
"2019-20","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2019-20","3","CEC","New Waterford Consolidated Hospital","538.0","7407.0","7945.0"
"2019-20","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2019-20","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2019-20","4","Community","Cobequid Community Health Centre","4.5","0.0","4.5"
"2019-20","4","Community","Eastern Shore Memorial Hospital","3252.5","0.0","3252.5"
"2019-20","4","Community","Hants Community Hospital","25.5","0.0","25.5"
"2019-20","4","CEC","Musquodoboit Valley Memorial Hospital","2089.0","4392.0","6481.0"
"2019-20","4","CEC","Twin Oaks Memorial Hospital","567.0","0.0","567.0"
"2019-20","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2018-19","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2018-19","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2018-19","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2018-19","1","Community","Digby General Hospital","1101.3","0.0","1101.3"
"2018-19","1","Community","Fishermen’s Memorial Hospital","257.5","3285.0","3542.5"
"2018-19","1","Community","Roseway","1719.5","0.0","1719.5"
"2018-19","1","Community","Soldiers Memorial Hospital","100.5","0.0","100.5"
"2018-19","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2018-19","1","CEC","Annapolis Community Health Centre","261.7","760.0","1021.7"
"2018-19","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2018-19","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2018-19","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2018-19","2","CEC","All Saints Springhill Hospital","3177.0","0.0","3177.0"
"2018-19","2","CEC","North Cumberland Memorial Hospital","3132.0","0.0","3132.0"
"2018-19","2","CEC","South Cumberland Community Care Centre","2511.0","0.0","2511.0"
"2018-19","2","CEC","Lillian Fraser Memorial Hospital","365.0","1256.0","1621.0"
"2018-19","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2018-19","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2018-19","3","Community","Eastern Memorial Hospital","5.0","0.0","5.0"
"2018-19","3","Community","Guysborough Memorial Hospital","96.0","0.0","96.0"
"2018-19","3","Community","St. Anne Community & Nursing Care Centre","758.0","0.0","758.0"
"2018-19","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2018-19","3","Community","Strait Richmond Hospital","906.0","0.0","906.0"
"2018-19","3","Community","Buchanan Memorial Health Centre","29.5","0.0","29.5"
"2018-19","3","Community","Glace Bay Health Care Facility","5554.0","464.0","6018.0"
"2018-19","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2018-19","3","Community","Victoria County Memorial Hospital","72.0","0.0","72.0"
"2018-19","3","Community","Northside General Hospital","1232.0","6144.0","7376.0"
"2018-19","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2018-19","3","CEC","New Waterford Consolidated Hospital","621.0","6235.0","6856.0"
"2018-19","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2018-19","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2018-19","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2018-19","4","Community","Eastern Shore Memorial Hospital","3654.5","0.0","3654.5"
"2018-19","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2018-19","4","CEC","Musquodoboit Valley Memorial Hospital","508.5","4380.0","4888.5"
"2018-19","4","CEC","Twin Oaks Memorial Hospital","197.3","0.0","197.3"
"2018-19","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2017-18","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2017-18","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2017-18","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2017-18","1","Community","Digby General Hospital","397.5","0.0","397.5"
"2017-18","1","Community","Fishermen’s Memorial Hospital","132.5","3285.0","3417.5"
"2017-18","1","Community","Roseway","789.0","0.0","789.0"
"2017-18","1","Community","Soldiers Memorial Hospital","52.5","0.0","52.5"
"2017-18","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2017-18","1","CEC","Annapolis Community Health Centre","385.0","0.0","385.0"
"2017-18","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2017-18","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2017-18","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2017-18","2","CEC","All Saints Springhill Hospital","1530.0","0.0","1530.0"
"2017-18","2","CEC","North Cumberland Memorial Hospital","2212.0","0.0","2212.0"
"2017-18","2","CEC","South Cumberland Community Care Centre","1784.0","0.0","1784.0"
"2017-18","2","CEC","Lillian Fraser Memorial Hospital","356.0","520.0","876.0"
"2017-18","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2017-18","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2017-18","3","Community","Eastern Memorial Hospital","0.0","0.0","0.0"
"2017-18","3","Community","Guysborough Memorial Hospital","7.0","0.0","7.0"
"2017-18","3","Community","St. Anne Community & Nursing Care Centre","451.0","0.0","451.0"
"2017-18","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2017-18","3","Community","Strait Richmond Hospital","828.0","0.0","828.0"
"2017-18","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2017-18","3","Community","Glace Bay Health Care Facility","1835.0","0.0","1835.0"
"2017-18","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2017-18","3","Community","Victoria County Memorial Hospital","194.0","0.0","194.0"
"2017-18","3","Community","Northside General Hospital","519.0","6087.0","6606.0"
"2017-18","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2017-18","3","CEC","New Waterford Consolidated Hospital","404.0","3654.0","4058.0"
"2017-18","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2017-18","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2017-18","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2017-18","4","Community","Eastern Shore Memorial Hospital","227.0","0.0","227.0"
"2017-18","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2017-18","4","CEC","Musquodoboit Valley Memorial Hospital","298.0","4380.0","4678.0"
"2017-18","4","CEC","Twin Oaks Memorial Hospital","166.0","0.0","166.0"
"2017-18","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2016-17","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2016-17","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2016-17","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2016-17","1","Community","Digby General Hospital","466.0","0.0","466.0"
"2016-17","1","Community","Fishermen’s Memorial Hospital","224.0","3285.0","3509.0"
"2016-17","1","Community","Roseway","421.0","0.0","421.0"
"2016-17","1","Community","Soldiers Memorial Hospital","38.0","0.0","38.0"
"2016-17","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2016-17","1","CEC","Annapolis Community Health Centre","136.5","0.0","136.5"
"2016-17","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2016-17","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2016-17","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2016-17","2","CEC","All Saints Springhill Hospital","1077.0","0.0","1077.0"
"2016-17","2","CEC","North Cumberland Memorial Hospital","182.5","0.0","182.5"
"2016-17","2","CEC","South Cumberland Community Care Centre","288.0","0.0","288.0"
"2016-17","2","CEC","Lillian Fraser Memorial Hospital","410.5","0.0","410.5"
"2016-17","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2016-17","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Eastern Memorial Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Guysborough Memorial Hospital","0.0","0.0","0.0"
"2016-17","3","Community","St. Anne Community & Nursing Care Centre","470.0","0.0","470.0"
"2016-17","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Strait Richmond Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2016-17","3","Community","Glace Bay Health Care Facility","888.5","0.0","888.5"
"2016-17","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Victoria County Memorial Hospital","0.0","0.0","0.0"
"2016-17","3","Community","Northside General Hospital","173.0","6205.0","6378.0"
"2016-17","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2016-17","3","CEC","New Waterford Consolidated Hospital","545.5","3647.0","4192.5"
"2016-17","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2016-17","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2016-17","4","Community","Cobequid Community Health Centre","0.0","2190.0","2190.0"
"2016-17","4","Community","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2016-17","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2016-17","4","CEC","Musquodoboit Valley Memorial Hospital","0.0","4380.0","4380.0"
"2016-17","4","CEC","Twin Oaks Memorial Hospital","97.0","0.0","97.0"
"2016-17","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2015-16","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2015-16","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2015-16","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2015-16","1","Community","Digby General Hospital","194.0","0.0","194.0"
"2015-16","1","Community","Fishermen’s Memorial Hospital","187.0","3294.0","3481.0"
"2015-16","1","Community","Roseway","1331.0","0.0","1331.0"
"2015-16","1","Community","Soldiers Memorial Hospital","60.0","0.0","60.0"
"2015-16","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2015-16","1","CEC","Annapolis Community Health Centre","41.0","0.0","41.0"
"2015-16","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2015-16","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2015-16","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2015-16","2","CEC","All Saints Springhill Hospital","300.0","0.0","300.0"
"2015-16","2","CEC","North Cumberland Memorial Hospital","160.0","0.0","160.0"
"2015-16","2","CEC","South Cumberland Community Care Centre","762.0","0.0","762.0"
"2015-16","2","CEC","Lillian Fraser Memorial Hospital","99.0","0.0","99.0"
"2015-16","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2015-16","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2015-16","3","Community","Eastern Memorial Hospital","0.0","0.0","0.0"
"2015-16","3","Community","Guysborough Memorial Hospital","0.0","0.0","0.0"
"2015-16","3","Community","St. Anne Community & Nursing Care Centre","114.0","0.0","114.0"
"2015-16","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2015-16","3","Community","Strait Richmond Hospital","36.0","0.0","36.0"
"2015-16","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2015-16","3","Community","Glace Bay Health Care Facility","1066.0","0.0","1066.0"
"2015-16","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2015-16","3","Community","Victoria County Memorial Hospital","20.0","0.0","20.0"
"2015-16","3","Community","Northside General Hospital","154.0","6222.0","6376.0"
"2015-16","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2015-16","3","CEC","New Waterford Consolidated Hospital","364.0","3644.0","4008.0"
"2015-16","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2015-16","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2015-16","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2015-16","4","Community","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2015-16","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2015-16","4","CEC","Musquodoboit Valley Memorial Hospital","0.0","4392.0","4392.0"
"2015-16","4","CEC","Twin Oaks Memorial Hospital","65.0","0.0","65.0"
"2015-16","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2014-15","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2014-15","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2014-15","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2014-15","1","Community","Digby General Hospital","158.0","0.0","158.0"
"2014-15","1","Community","Fishermen’s Memorial Hospital","201.0","3285.0","3486.0"
"2014-15","1","Community","Roseway","653.0","0.0","653.0"
"2014-15","1","Community","Soldiers Memorial Hospital","150.0","0.0","150.0"
"2014-15","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2014-15","1","CEC","Annapolis Community Health Centre","0.0","0.0","0.0"
"2014-15","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2014-15","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2014-15","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2014-15","2","CEC","All Saints Springhill Hospital","109.0","0.0","109.0"
"2014-15","2","CEC","North Cumberland Memorial Hospital","101.0","0.0","101.0"
"2014-15","2","CEC","South Cumberland Community Care Centre","108.0","0.0","108.0"
"2014-15","2","CEC","Lillian Fraser Memorial Hospital","83.0","0.0","83.0"
"2014-15","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
