"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2024_q2",,"Shoulder Arthroscopy",,"Zone 4","Dartmouth General","2024","2","83","716","107","232"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Minor, Samuel",,,,,"313","791","122","265"
"2023_q2",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 4","Dartmouth General","2023","2","160","470","123","143"
"2024_q4",,"Head and Neck Surgery",,"Zone 4","QE2","2024","4","14","48","24","41"
"3month_rolling",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 4","Dartmouth General","2025","2","55","402","85","247"
"2023_q4",,"Gastrointestinal Tract Surgery",,"Total","Provincial","2023","4","38","179","41","247"
"12month_rolling",,"Endarterectomy",,"Total","Provincial","2025","2","25","167","29","66"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Zee, Rebekah",,,,,"25","69","90","154"
"12month_rolling","General Surgery","Hernia Repair - Laparoscopic Inguinal Femoral","Minor, Samuel",,,,,"368","426","144","196"
"12month_rolling",,"Cystoscopy",,"IWK","IWK","2025","2","70","199","76","260"
"2024_q4",,"Foot - Arthrodesis",,"Total","Provincial","2024","4","462","708","123","218"
"12month_rolling","Otolaryngology (ENT)","Surgery for Hearing or Balance Problems of the Ear","Quimby, Alexandra",,,,,"161","577","281","1216"
"2024_q4",,"Bladder Cancer Surgery",,"Zone 1","Yarmouth Regional","2024","4",,,"34","73"
"12month_rolling",,"Oculo Plastic Surgery",,"Total","Provincial","2025","2","70","396","94","331"
"2025_q2",,"Bowel Resection",,"Zone 4","QE2","2025","2","21","161","38","135"
"2023_q2",,"Colorectal Cancer Surgery",,"Zone 1","South Shore Regional","2023","2",,,"24","37"
"2024_q2",,"Cystoscopy",,"Zone 1","South Shore Regional","2024","2","53","209","29","81"
"2024_q1",,"Breast Reconstruction",,"Zone 4","QE2","2024","1","156","283","71","1078"
"2024_q4",,"Male Reproductive System Surgery",,"IWK","IWK","2024","4","110","760","177","854"
"12month_rolling","Cardiac Surgery","Cardiac Valve Replacement","Ali, Idris M",,,,,,,"30","41"
"2025_q2",,"Gastric Surgery - Laparoscopic",,"Zone 4","QE2","2025","2","44","526","115","783"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Houck, Leslie",,,,,"121","372","33","72"
"12month_rolling","Thoracic Surgery","Chest Scopes  (Adult)","Mujoomdar, Aneil Arvind",,,,,"14","22","22","28"
"12month_rolling",,"Craniotomy for Epilepsy",,"Zone 4","QE2","2025","2","28","68",,
"12month_rolling","Plastic Surgery","Carpal Tunnel Surgery","Nel, Corne",,,,,"75","292","178","309"
"2024_q1",,"Cystoscopy",,"Zone 2","Colchester East Hants Health Centre","2024","1","28","158","55","393"
"2023_q2",,"Insertion Vascular Access Catheter",,"Zone 1","Yarmouth Regional","2023","2",,,"13","21"
"2023_q3",,"Dental Extractions and Restorations  (Adult)",,"Total","Provincial","2023","3","110","253","145","520"
"2024_q3",,"Gastrointestinal Tract Surgery",,"Zone 2","Colchester East Hants Health Centre","2024","3",,,"38","47"
"12month_rolling","General Surgery","Bowel Resection - Laparoscopic","Hoogerboord, C Marius",,,,,"36","435","32","60"
"2023_q2",,"Hernia Repair - Inguinal/Femoral",,"Total","Provincial","2023","2","55","266","62","230"
"2024_q4",,"Hernia Repair - Umbilical",,"Zone 1","South Shore Regional","2024","4","90","147","67","164"
"2025_q2",,"Thyroid or Parathyroid Surgery",,"Zone 2","Cumberland Regional","2025","2","63","208","77","133"
"2024_q2",,"Strabismus Surgery  (Adult)",,"Total","Provincial","2024","2","124","517","127","393"
"2023_q2",,"Lung Cancer Surgery",,"Total","Provincial","2023","2","23","46","34","83"
"2025_q2",,"Whipple Procedures",,"Zone 4","QE2","2025","2","13","22","37","46"
"2023_q3",,"Cataract Surgery",,"Zone 3","Cape Breton Regional","2023","3","39","116","52","98"
"2025_q2",,"Septoplasty",,"Zone 3","St. Martha's Regional","2025","2",,,"82","151"
"2024_q4",,"Oculo Plastic Surgery",,"Zone 4","QE2","2024","4","37","419","125","349"
"12month_rolling","Orthopaedic","Osteotomy","Burgesson, Bernard",,,,,"572","623","40","50"
"2023_q2",,"Male Reproductive System Surgery",,"IWK","IWK","2023","2","87","177","184","433"
"12month_rolling",,"Knee Replacement - Partial",,"Zone 4","QE2","2025","2","238","364","62","118"
"12month_rolling",,"Shoulder Arthroplasty",,"Zone 4","QE2","2025","2","80","340","215","531"
"2024_q3",,"Ear Tubes  (Pediatric)",,"Zone 1","Valley Regional","2024","3",,,"101","141"
"3month_rolling",,"Carpal Tunnel Surgery",,"Zone 4","Dartmouth General","2025","2",,,"68","166"
"2025_q1",,"Hysteroscopy",,"Zone 2","Colchester East Hants Health Centre","2025","1","62","213","64","137"
"2023_q4",,"Gallbladder Surgery",,"Zone 1","Yarmouth Regional","2023","4","12","64","37","97"
"2025_q1",,"Prostate Surgery",,"Zone 1","Valley Regional","2025","1","50","347","87","600"
"2024_q3",,"Hernia Repair  (Adult)",,"Zone 3","Glace Bay","2024","3","370","485",,
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Black, Brittany",,,,,"66","262","49","79"
"2023_q3",,"Gastrointestinal Tract Surgery",,"Zone 2","Aberdeen Hospital","2023","3",,,"47","74"
"2024_q2",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 4","QE2","2024","2","142","883","89","160"
"2025_q1",,"Male Reproductive System Surgery",,"Zone 4","Hants Community Hospital","2025","1","137","360","40","161"
"3month_rolling",,"Gallbladder Surgery",,"Zone 1","South Shore Regional","2025","2","26","149","27","63"
"2023_q4",,"Whipple Procedures",,"Total","Provincial","2023","4","10","15","31","52"
"3month_rolling",,"Kidney Stone Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","2","28","156","75","220"
"2024_q1",,"Hysterectomy  (Cancer Suspected or Proven)",,"Zone 4","QE2","2024","1","11","30","33","49"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Stone, Heather",,,,,"23","191","56","106"
"12month_rolling","Dental","Dental Extractions and Restorations  (Pediatric)","Dyment, Heather",,,,,"127","616","161","799"
"2023_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 4","QE2","2023","2","119","239","159","274"
"2025_q2",,"Tendon / Ligament Repair",,"IWK","IWK","2025","2",,,"200","393"
"2025_q2",,"Female Incontinence Surgery",,"Zone 4","QE2","2025","2",,,"115","211"
"2024_q4",,"Gallbladder Surgery",,"Zone 1","Valley Regional","2024","4","64","729","53","137"
"2024_q1",,"Gallbladder Surgery",,"Zone 2","Aberdeen Hospital","2024","1","13","494","43","88"
"2024_q4",,"Bladder Cancer Surgery",,"Zone 3","Northside General","2024","4",,,"28","112"
"2024_q4",,"Functional Endoscopic Sinus Surgery (FESS)",,"Total","Provincial","2024","4","41","188","102","414"
"2024_q3",,"Cervical Spine (Neck) Surgery",,"Zone 4","QE2","2024","3","88","603","84","225"
"12month_rolling","Oral Maxillofacial","Maxillofacial Deformity Surgery","Davis, Benjamin",,,,,"315","490","168","372"
"2024_q2",,"Aesthetic Surgery",,"Total","Provincial","2024","2","75","349","60","162"
"12month_rolling","General Surgery","Bowel Resection","Sahi, Chakshu",,,,,"48","137","18","39"
"12month_rolling","General Surgery","Breast Cancer Surgery","Booth, John",,,,,"10","33","22","97"
"2024_q4",,"Bowel Resection",,"Total","Provincial","2024","4","23","159","33","75"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Enright, Jonathan Boyde",,,,,"223","940","80","192"
"2024_q1",,"Shoulder Arthroscopy",,"Zone 3","Cape Breton Regional","2024","1","156","293","84","115"
"2025_q2",,"Cataract Surgery",,"Zone 4","QE2","2025","2","73","189","43","163"
"2024_q2",,"Cystoscopy",,"Zone 1","Valley Regional","2024","2","25","92","42","155"
"12month_rolling",,"Bladder Surgery",,"Total","Provincial","2025","2","13","67","53","99"
"2024_q2",,"Dental Extractions and Restorations  (Adult)",,"Total","Provincial","2024","2","88","333","106","631"
"3month_rolling",,"Kidney Stone Surgery",,"Zone 3","Cape Breton Regional","2025","2",,,"16","34"
"2024_q1",,"Aneurysm Repair",,"Total","Provincial","2024","1","40","335","39","120"
"2024_q2",,"Hernia Repair  (Adult)",,"Zone 3","Cape Breton Regional","2024","2","323","750","214","408"
"2025_q1",,"Cystoscopy",,"Zone 4","Dartmouth General","2025","1","49","145","62","161"
"2024_q1",,"Bladder Surgery",,"Zone 3","Cape Breton Regional","2024","1",,,"57","147"
"2025_q1",,"Bowel Resection - Open",,"Total","Provincial","2025","1","28","164","34","142"
"12month_rolling","Otolaryngology (ENT)","Surgery for Hearing or Balance Problems of the Ear","Wallace, Timothy D",,,,,"110","256","36","142"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Faryniuk, Andrea Marie",,,,,"17","47","35","49"
"12month_rolling","General Surgery","Gastric Surgery - Laparoscopic","Ellsmere, James C",,,,,"39","116","266","372"
"3month_rolling",,"Carpal Tunnel Surgery",,"Zone 4","QE2","2025","2",,,"48","127"
"12month_rolling","General Surgery","Bowel Resection - Open","Stoddart, Todd",,,,,"29","182","28","57"
"2023_q4",,"Manipulation of Extremity",,"Total","Provincial","2023","4",,,"33","120"
"2025_q1",,"Dental Extractions and Restorations  (Pediatric)",,"IWK","IWK","2025","1","111","614","220","806"
"2023_q4",,"Bowel Resection - Laparoscopic",,"Zone 3","Cape Breton Regional","2023","4","17","51","25","58"
"2023_q2",,"Hip Arthroscopy",,"Total","Provincial","2023","2","84","448","217","1117"
"2025_q2",,"Gallbladder Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","2","43","190","118","282"
"12month_rolling","Vascular Surgery","Aneurysm Repair","Jessula, Samuel",,,,,"56","119","51","75"
"2024_q1",,"Hernia Repair  (Pediatric)",,"IWK","IWK","2024","1","70","149","218","436"
"12month_rolling","Ophthalmology","Cataract Surgery","Nicolela, Marcelo",,,,,"85","132","121","281"
"2024_q4",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 4","Dartmouth General","2024","4","67","391","65","155"
"2025_q1",,"Palmar Fascia Excision for Dupuytren's Disease",,"Total","Provincial","2025","1","170","544","120","314"
"2024_q1",,"Breast Cancer Surgery",,"Total","Provincial","2024","1","16","39","23","51"
"2023_q4",,"Bowel Resection - Laparoscopic",,"Total","Provincial","2023","4","21","154","27","77"
"2024_q4",,"Surgery for Hearing or Balance Problems of the Ear",,"Zone 1","Yarmouth Regional","2024","4","152","550","69","1385"
"12month_rolling","Obstetrics/Gynaecology","All","Randle, Elizabeth",,,,,"104","946","111","287"
"2025_q1",,"Breast Reconstruction",,"Zone 4","QE2","2025","1","155","1029","73","308"
"2024_q4",,"Gastrointestinal Tract Surgery",,"Zone 1","Valley Regional","2024","4","133","267","64","96"
"2023_q2",,"Aneurysm Repair",,"Zone 4","QE2","2023","2","27","86","51","123"
"2023_q3",,"Hernia Repair  (Adult)",,"Zone 3","St. Martha's Regional","2023","3","20","311","76","300"
"2024_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","South Shore Regional","2024","1",,,"54","158"
"12month_rolling",,"Surgery for Hearing or Balance Problems of the Ear",,"Zone 4","Dartmouth General","2025","2","35","312","61","389"
"2023_q2",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 2","Aberdeen Hospital","2023","2","229","348","113","419"
"2025_q1",,"Hernia Repair - Incisional",,"Zone 2","Colchester East Hants Health Centre","2025","1",,,"209","371"
"2025_q1",,"Breast Cancer Surgery",,"Zone 2","Aberdeen Hospital","2025","1","18","23","22","44"
"2023_q4",,"Aneurysm Repair",,"Zone 4","QE2","2023","4","126","348","20","112"
"2024_q3",,"Pilonidal Cyst Surgery",,"Total","Provincial","2024","3","110","251","75","372"
"2024_q1",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 3","St. Martha's Regional","2024","1","14","75","228","324"
"2024_q1",,"Knee Scope with ACL Repair",,"Total","Provincial","2024","1","47","135","82","158"
"2025_q1",,"Dental Extractions and Restorations  (Adult)",,"Total","Provincial","2025","1","129","287","125","479"
"12month_rolling","Plastic Surgery","Orthopaedic Trauma","Bezuhly, Michael",,,,,"7","8","1","1"
"2025_q1",,"Hysteroscopy",,"Zone 2","Aberdeen Hospital","2025","1","31","157","47","156"
"2024_q2",,"Melanoma Excision",,"Zone 4","QE2","2024","2","17","71","20","41"
"2025_q2",,"Knee Scope",,"Zone 2","Aberdeen Hospital","2025","2","50","133","77","140"
"2023_q4",,"Endometrial Ablation",,"Total","Provincial","2023","4","64","244","91","271"
"2024_q4",,"Ear Tubes  (Adult)",,"Zone 1","Yarmouth Regional","2024","4",,,"62","1385"
"12month_rolling","Plastic Surgery","Breast Reconstruction","Wheelock, Margaret",,,,,,,"148","819"
"3month_rolling",,"Gallbladder Surgery",,"Zone 3","St. Martha's Regional","2025","2","26","77","118","265"
"2025_q1",,"Bowel Resection - Laparoscopic",,"Zone 1","Valley Regional","2025","1","31","78","46","72"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Joice, Shannon",,,,,"213","373","285","498"
"2025_q1",,"Carpal Tunnel Surgery",,"Zone 1","Valley Regional","2025","1","79","393","73","132"
"2024_q2",,"Hip Replacement",,"Zone 4","QE2","2024","2","138","322","92","686"
"2024_q1",,"Colorectal Cancer Surgery",,"Zone 1","Valley Regional","2024","1","25","164","35","57"
"12month_rolling","Cardiac Surgery","All","Tremblay, Louis Philippe",,,,,,,"38","92"
"3month_rolling",,"Dental Extractions and Restorations  (Pediatric)",,"IWK","IWK","2025","2","170","677","177","738"
"2024_q3",,"Hemorrhoidectomy",,"Zone 4","Dartmouth General","2024","3",,,"261","733"
"2025_q2",,"Prostate Surgery - Laparoscopic",,"Total","Provincial","2025","2","28","55","75","171"
"2024_q3",,"Thyroid or Parathyroid Surgery",,"Zone 3","Cape Breton Regional","2024","3","84","183","205","495"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Pediatric)","Wallace, Timothy D",,,,,"150","315","58","255"
"2025_q1",,"Bowel Resection",,"Zone 1","South Shore Regional","2025","1","23","39","33","73"
"2024_q3",,"Shoulder Arthroplasty",,"Total","Provincial","2024","3","128","403","199","438"
"2025_q2",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 2","Cumberland Regional","2025","2","31","81","81","152"
"2024_q4",,"Hip Replacement",,"Zone 4","QE2","2024","4","105","329","65","586"
"12month_rolling","Orthopaedic","All","Van Graan, Wouter",,,,,"138","410","80","139"
"2024_q1",,"Hysteroscopy",,"Total","Provincial","2024","1","49","339","51","144"
"2024_q3",,"Male Reproductive System Surgery",,"Total","Provincial","2024","3","94","240","122","382"
"2024_q3",,"Cystoscopy",,"IWK","IWK","2024","3",,,"70","203"
"12month_rolling",,"Patella Surgery",,"Total","Provincial","2025","2","80","193","159","358"
"12month_rolling",,"Patella Surgery",,"Zone 4","Dartmouth General","2025","2",,,"78","146"
"2023_q2",,"Gallbladder Surgery",,"Zone 3","Glace Bay","2023","2","105","366",,
"2024_q1",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 1","Valley Regional","2024","1",,,"89","237"
"12month_rolling","General Surgery","Insertion Vascular Access Catheter","Sahi, Chakshu",,,,,"13","24","7","19"
"2024_q1",,"Knee Replacement - Partial",,"Total","Provincial","2024","1","140","370","254","470"
"12month_rolling","General Surgery","All","Mills, Jessica Louise",,,,,"76","125","41","134"
"2024_q1",,"Bowel Resection",,"Zone 4","Dartmouth General","2024","1","9","23","27","48"
"12month_rolling","Orthopaedic","Knee Replacement","Arakgi, Michelle",,,,,"413","475","99","162"
"2024_q3",,"Insertion Vascular Access Catheter",,"Total","Provincial","2024","3","16","57","10","124"
"12month_rolling","Orthopaedic","Hand / Upper Extremity","Johnston, David G",,,,,"65","686","451","588"
"12month_rolling","Urology","Cystoscopy","Morris, Heather",,,,,"14","71","38","78"
"2024_q3",,"Lacrimal Duct Probing",,"Total","Provincial","2024","3","73","244","60","331"
"2023_q2",,"Male Reproductive System Surgery",,"Zone 4","Dartmouth General","2023","2","63","167","125","231"
"2023_q4",,"Breast Cancer Surgery",,"Zone 1","Valley Regional","2023","4","15","28","25","37"
"2024_q3",,"Kidney / Upper Urinary Tract",,"Total","Provincial","2024","3","65","150","47","236"
"2023_q4",,"Hip Replacement",,"Zone 3","Cape Breton Regional","2023","4","161","237","68","162"
"12month_rolling",,"Craniotomy for Epilepsy",,"Total","Provincial","2025","2","28","68",,
"2024_q1",,"Cystoscopy",,"Zone 1","South Shore Regional","2024","1","132","999","27","92"
"12month_rolling","Plastic Surgery","Tendon / Ligament Repair","Hayden, David",,,,,"6","21","44","66"
"12month_rolling",,"Hernia Repair - Laparoscopic Incisional",,"Total","Provincial","2025","2","102","636","103","378"
"2025_q2",,"Cystoscopy",,"Zone 1","Valley Regional","2025","2","64","585","39","193"
"12month_rolling","Urology","Male Reproductive System Surgery","Massaro, Peter",,,,,"289","568","350","495"
"2024_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 2","Aberdeen Hospital","2024","1","42","93","146","358"
"2024_q1",,"Hip Arthroscopy",,"Zone 4","Dartmouth General","2024","1","68","277","248","415"
"2025_q1",,"Aneurysm Repair",,"Total","Provincial","2025","1","41","83","55","134"
"12month_rolling","Urology","Bladder Surgery","Bailly, Greg G",,,,,"60","67","46","101"
"2023_q4",,"Shoulder Arthroscopy",,"Zone 2","Aberdeen Hospital","2023","4","140","275","99","127"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","MacLellan, Erin",,,,,"109","287","195","387"
"2024_q4",,"Laryngology and Vocal Cord Surgery",,"Zone 4","QE2","2024","4","46","92","36","281"
"12month_rolling","Otolaryngology (ENT)","All","Brodarec, Ivan",,,,,"90","519","47","135"
"2024_q2",,"Gastrointestinal Tract Surgery",,"Zone 4","Dartmouth General","2024","2","33","186","71","407"
"2023_q4",,"Foot - Arthrodesis",,"Total","Provincial","2023","4","177","973","102","259"
"12month_rolling",,"Pacemaker Insertion",,"Total","Provincial","2025","2","7","30","28","89"
"2025_q2",,"Sacral Nerve Stimulation",,"Total","Provincial","2025","2",,,"135","225"
"12month_rolling","Orthopaedic","Hip Replacement","Brien, Donald M",,,,,"176","384","114","175"
"2023_q3",,"Tendon / Ligament Repair",,"IWK","IWK","2023","3",,,"178","295"
"3month_rolling",,"Cervical Spine (Neck) Surgery",,"Zone 4","QE2","2025","2","72","494","73","163"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","Poushay, Heather",,,,,"289","373","25","35"
"2023_q2",,"Hernia Repair  (Adult)",,"Zone 4","Hants Community Hospital","2023","2","124","434","49","223"
"2023_q2",,"Hernia Repair  (Adult)",,"Zone 3","Glace Bay","2023","2","27","346",,
"12month_rolling","General Surgery","All","Shih, Warren W",,,,,"71","100","167","359"
"2024_q4",,"Cornea and External Disease",,"Zone 4","QE2","2024","4","51","183","91","341"
"2023_q3",,"Ear Tubes  (Pediatric)",,"Zone 3","St. Martha's Regional","2023","3","84","115","90","118"
"2024_q3",,"Cataract Surgery",,"Zone 2","Colchester East Hants Health Centre","2024","3","141","294","64","104"
"2024_q2",,"Cataract Surgery",,"Zone 3","Cape Breton Regional","2024","2","46","150","32","140"
"12month_rolling","Oral Maxillofacial","Dental Extractions and Restorations  (Adult)","Chiarot, Marco",,,,,"75","307","122","175"
"12month_rolling","Obstetrics/Gynaecology","All","Stone, Heather",,,,,"29","402","59","188"
"12month_rolling","Ophthalmology","Cataract Surgery","Mishra, Anu",,,,,"35","77","65","134"
"2024_q2",,"Hip Arthroscopy",,"Total","Provincial","2024","2","83","467","230","617"
"2024_q1",,"Breast Cancer Surgery",,"Zone 3","St. Martha's Regional","2024","1","7","78","29","48"
"12month_rolling","Orthopaedic","Knee Replacement - Partial","Sequeira, Stanislaus",,,,,"123","123","300","417"
"12month_rolling","Dental","All","Eagles, Arthur",,,,,,,"142","336"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Suspected or Proven)","Murray, Angus",,,,,"52","118","49","92"
"12month_rolling","General Surgery","Gallbladder Surgery","Murphy, Christopher",,,,,"74","124","53","94"
"12month_rolling","Plastic Surgery","Nose Surgery - Reconstructive or Aesthetic","LeBlanc, Martin",,,,,"43","77","37","70"
"2024_q1",,"Female Incontinence Surgery",,"Zone 4","QE2","2024","1",,,"135","286"
"2025_q2",,"Hysteroscopy",,"Zone 1","South Shore Regional","2025","2","39","96","34","74"
"2025_q2",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 3","Cape Breton Regional","2025","2","46","60",,
"2023_q4",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","Hants Community Hospital","2023","4","122","184","33","116"
"2024_q3",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","Dartmouth General","2024","3","132","398","77","314"
"2024_q3",,"Hernia Repair - Umbilical",,"Zone 2","Colchester East Hants Health Centre","2024","3","40","198","80","192"
"2025_q2",,"Oculo Plastic Surgery",,"Zone 3","Cape Breton Regional","2025","2",,,"81","340"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Roach, Eileen",,,,,"251","316","217","453"
"2023_q2",,"Sinus Surgery",,"Total","Provincial","2023","2",,,"111","273"
"3month_rolling",,"Ear Tubes  (Pediatric)",,"Zone 2","Cumberland Regional","2025","2",,,"32","66"
"12month_rolling","Orthopaedic","Hip Replacement Revision","Leighton, Jennifer Laura",,,,,,,"97","123"
"2025_q2",,"Ear Tubes  (Pediatric)",,"IWK","IWK","2025","2","79","226","84","138"
"2024_q3",,"Hernia Repair  (Adult)",,"Zone 1","South Shore Regional","2024","3","42","88","56","130"
"2025_q2",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 4","QE2","2025","2","45","208","48","135"
"2025_q2",,"Nerve or Brain Stimulation",,"Zone 4","QE2","2025","2","20","23","37","87"
"3month_rolling",,"Sinus Surgery",,"Zone 2","Cumberland Regional","2025","2",,,"28","104"
"2025_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 4","Dartmouth General","2025","2",,,"50","72"
"12month_rolling","Vascular Surgery","Amputations","Smith, Matthew",,,,,,,"10","20"
"2023_q3",,"Endometrial Ablation",,"Zone 2","Aberdeen Hospital","2023","3","48","154","36","74"
"2024_q4",,"Ear Tubes  (Pediatric)",,"IWK","IWK","2024","4","79","347","111","149"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Neumann, Katerina",,,,,"89","273","52","121"
"12month_rolling","Orthopaedic","Knee Scope","Legay, Douglas A",,,,,"69","84","69","248"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Butler, Clay K",,,,,"40","65","63","715"
"2025_q2",,"Bowel Resection - Open",,"Zone 1","South Shore Regional","2025","2","15","31","27","34"
"2025_q2",,"Nose Surgery - Reconstructive or Aesthetic",,"Total","Provincial","2025","2","25","82","24","91"
"2024_q4",,"Gastrointestinal Tract Surgery",,"Zone 3","Cape Breton Regional","2024","4","20","41","57","345"
"2024_q4",,"Maxillofacial Deformity Surgery",,"Total","Provincial","2024","4","355","582","261","540"
"12month_rolling",,"Hernia Repair - Inguinal/Femoral",,"Zone 1","South Shore Regional","2025","2","45","140","42","116"
"2025_q1",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 2","Aberdeen Hospital","2025","1","85","132",,
"2024_q4",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Total","Provincial","2024","4","147","424","175","400"
"2023_q2",,"Breast Reconstruction",,"Zone 4","QE2","2023","2",,,"110","782"
"12month_rolling","General Surgery","Bowel Resection - Laparoscopic","Stewart, Riley",,,,,"21","103","32","130"
"2023_q2",,"Aesthetic Surgery",,"Total","Provincial","2023","2","74","91","57","386"
"2023_q2",,"Glaucoma (Eye Pressure Lowering Surgery)",,"Zone 4","QE2","2023","2","34","470","27","63"
"12month_rolling","Urology","Bladder Cancer Surgery","Massaro, Peter",,,,,"24","259","36","80"
"2023_q2",,"Hernia Repair - Laparoscopic Umbilical",,"Total","Provincial","2023","2","141","563","151","312"
"2024_q4",,"Hysterectomy  (Cancer Not Suspected)",,"Total","Provincial","2024","4","118","657","115","404"
"12month_rolling","Dental","All","Munro, Monica",,,,,"108","301","79","189"
"2024_q1",,"Cystoscopy",,"Zone 4","Dartmouth General","2024","1","50","129","86","475"
"3month_rolling",,"Chest Scopes  (Adult)",,"Zone 4","QE2","2025","2","11","19",,
"2025_q2",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven)",,"Total","Provincial","2025","2","38","144","31","54"
"12month_rolling","Orthopaedic","Shoulder Arthroscopy","Trenholm, J Andrew I",,,,,"65","125","238","506"
"2024_q1",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 4","Dartmouth General","2024","1","38","120","101","257"
"2024_q2",,"Strabismus Surgery  (Adult)",,"Zone 4","QE2","2024","2","90","517","127","393"
"2024_q4",,"Male Circumcision  (Adult)",,"Total","Provincial","2024","4","102","233","162","442"
"2024_q3",,"Manipulation of Extremity",,"Total","Provincial","2024","3",,,"22","332"
"12month_rolling","Orthopaedic","Knee Replacement","Biddulph, Michael Paul",,,,,"1876","1876","150","487"
"3month_rolling",,"Hemorrhoidectomy",,"Zone 4","Dartmouth General","2025","2",,,"64","209"
"12month_rolling","Plastic Surgery","All","Singh, Ashvir",,,,,"59","314","87","245"
"2025_q1",,"Hernia Repair - Laparoscopic Incisional",,"Total","Provincial","2025","1","108","542","150","385"
"12month_rolling","Orthopaedic","Knee Scope","Arakgi, Michelle",,,,,"96","189","82","161"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Younes, Grace",,,,,"51","622","53","118"
"12month_rolling","Dental","All","El Azrak, Mohamed",,,,,"14","22","47","133"
"2024_q4",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Total","Provincial","2024","4","22","76","34","109"
"12month_rolling","General Surgery","All","Hossain, Farisa",,,,,"15","113","93","219"
"2024_q4",,"Tonsillectomy and/or Adenoidectomy  (Adult)",,"Total","Provincial","2024","4","56","445","165","413"
"2025_q2",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"IWK","IWK","2025","2","183","396","196","421"
"2023_q4",,"Knee Scope",,"Zone 1","South Shore Regional","2023","4","127","405","96","206"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Clark, F Donald",,,,,"31","59","56","72"
"2023_q3",,"Bowel Resection",,"Zone 2","Aberdeen Hospital","2023","3",,,"35","50"
"2024_q4",,"Vitreoretinal Diseases",,"Total","Provincial","2024","4","31","208","22","96"
"2024_q1",,"Kidney Removal",,"Total","Provincial","2024","1","15","46","57","125"
"12month_rolling","Plastic Surgery","Melanoma Excision","Williams, Jason G",,,,,"9","21","12","20"
"3month_rolling",,"Shoulder Surgery",,"Total","Provincial","2025","2","98","358","146","281"
"2023_q2",,"Bowel Resection",,"Zone 1","South Shore Regional","2023","2","16","158","37","58"
"2023_q2",,"Pilonidal Cyst Surgery",,"Total","Provincial","2023","2","57","230","93","350"
"12month_rolling","General Surgery","Gallbladder Surgery","Kelly, Ryan Patrick",,,,,"292","846","190","401"
"12month_rolling","Thoracic Surgery","Nissen Fundoplication - Laparoscopic","Plourde, Madelaine M",,,,,"52","1225","59","993"
"2024_q2",,"Head and Neck Surgery",,"Zone 4","Dartmouth General","2024","2","38","253","135","468"
"2024_q2",,"Thoroscopy / Pleuroscopy",,"Total","Provincial","2024","2",,,"17","202"
"2024_q3",,"Functional Endoscopic Sinus Surgery (FESS)",,"Total","Provincial","2024","3","51","245","92","189"
