"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"3month_rolling",,"Chest Scopes  (Adult)",,"Total","Provincial","2025","2","11","19",,
"2024_q1",,"Breast Cancer Surgery",,"Zone 2","Colchester East Hants Health Centre","2024","1","7","33","41","77"
"12month_rolling","Orthopaedic","Hip Replacement","O'Brien, David A",,,,,"483","673","204","410"
"2024_q3",,"Hernia Repair  (Adult)",,"Zone 2","Colchester East Hants Health Centre","2024","3","40","204","99","222"
"12month_rolling","General Surgery","All","Neumann, Katerina",,,,,"92","295","73","355"
"2023_q2",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","South Shore Regional","2023","2",,,"68","168"
"12month_rolling",,"Amputations",,"Total","Provincial","2025","2","27","227","17","114"
"12month_rolling","General Surgery","Gallbladder Surgery","Shih, Warren W",,,,,"70","99","167","267"
"2025_q2",,"Prostate Cancer Surgery",,"Total","Provincial","2025","2","28","64","69","155"
"2024_q2",,"Gallbladder Surgery",,"Total","Provincial","2024","2","37","213","60","195"
"2024_q4",,"Cataract Surgery",,"Total","Provincial","2024","4","125","307","70","190"
"12month_rolling","General Surgery","Peritoneal Lavage or Catherization","Livingstone, Scott",,,,,"27","27","15","22"
"12month_rolling",,"Patella Surgery",,"Zone 4","QE2","2025","2",,,"203","358"
"12month_rolling",,"Insertion Vascular Access Catheter",,"IWK","IWK","2025","2",,,"21","100"
"12month_rolling",,"Salivary Gland Surgery",,"Total","Provincial","2025","2","43","211","83","262"
"12month_rolling","Urology","Male Reproductive System Surgery","Ory, Jesse",,,,,"175","434","190","445"
"2023_q2",,"Gastrointestinal Tract Surgery",,"Zone 1","South Shore Regional","2023","2","18","96","43","137"
"2024_q2",,"Peritoneal Lavage or Catherization",,"Zone 4","QE2","2024","2",,,"14","22"
"2024_q3",,"Strabismus Surgery  (Adult)",,"Zone 4","QE2","2024","3","108","598","150","491"
"2023_q2",,"Kidney / Upper Urinary Tract",,"Total","Provincial","2023","2","33","79","57","267"
"2023_q2",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 3","St. Martha's Regional","2023","2","48","82",,
"2023_q2",,"Colorectal Cancer Surgery",,"Total","Provincial","2023","2","17","100","29","66"
"2024_q1",,"Hernia Repair - Incisional",,"Zone 4","QE2","2024","1","64","731","108","910"
"2024_q3",,"Gallbladder Surgery",,"Zone 3","St. Martha's Regional","2024","3","31","70","156","286"
