busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS1540,7060,Knightsridge Dr After Dunbrack St (7060),1,INS,0,44.670394,-63.661901
BS1541,7061,Knightsridge Dr After Flamingo Dr (7061),1,INS,0,44.671774,-63.660198
BS1542,7062,Knightsridge Dr Before Flamingo Dr (7062),1,INS,1,44.671354,-63.660265
BS1543,7063,Lacewood Dr After Vimy Ave (7063),1,INS,0,44.661361,-63.636554
BS1544,7064,Lacewood Dr After Stratford Way (7064),1,INS,0,44.659516,-63.666792
BS1545,7065,Lacewood Dr After Braeside Ln (7065),1,INS,0,44.662018,-63.641055
BS1547,7424,Parkland Dr Before Farnham Gate Rd (7424),1,INS,0,44.671752,-63.676139
BS1548,7425,Parkland Dr Opposite Carlina Ct (7425),1,INS,0,44.674212,-63.676097
BS1550,7427,Parkland Dr After Lacewood Dr (7427),1,INS,1,44.660289,-63.669921
BS1551,7428,Parkland Dr After Farnham Gate Rd (7428),1,INS,1,44.670528,-63.675929
BS1552,7429,Parkland Dr After Langbrae Dr (7429),1,INS,0,44.665506,-63.672008
BS1553,7430,Parkland Dr After Carrington Pl (7430),1,INS,0,44.666526,-63.673933
BS1554,7431,Parkland Dr Before Carrington Pl (7431),1,INS,1,44.667013,-63.674892
BS1556,7433,Parkland Dr Before Farnham Gate Rd (7433),1,INS,0,44.670728,-63.675935
BS1557,7434,Parkland Dr Before Lancaster Dr (7434),1,INS,0,44.664263,-63.670798
BS1558,7435,Parkland Dr After Langbrae Dr (7435),1,INS,0,44.666037,-63.672591
BS1559,7147,Hornes Rd After Cow Bay Rd (7147),0,INS,0,44.612715,-63.487923
BS156,8284,Sinclair St Before Highwood St (8284),1,INS,0,44.674488,-63.55886
BS1560,7148,Lucien Dr After Whynette Pl (7148),1,INS,1,44.680629,-63.508498
BS1562,6454,Coburg Rd Before Henry St (6454),1,INS,0,44.639474,-63.589064
BS1563,6455,Cogswell St Before Gottingen St (6455),1,INS,1,44.650876,-63.579956
BS157,8285,Sinclair St After Prince Albert Rd (8285),1,INS,0,44.677986,-63.555341
BS1571,6463,Colby Dr After Becks Way (6463),1,INS,0,44.660957,-63.478068
BS1572,6464,Colby Dr At Civic 239 (6464),1,INS,0,44.665239,-63.47802
BS1573,6465,Colby Dr After Bellroyal Ct (6465),1,INS,0,44.663607,-63.477687
BS1574,6466,Colby Dr After Delta Dr (6466),1,INS,1,44.666418,-63.491349
BS1575,6467,Colby Dr Before Autumn Pl (6467),1,INS,0,44.666531,-63.485526
BS1576,6468,Colby Dr Before Balsam Pl (6468),1,INS,0,44.665441,-63.483452
BS1577,6469,Colby Dr Before Boling Green Cr (6469),1,INS,0,44.666064,-63.480054
BS1578,6470,Colby Dr Before Castlewood Dr (6470),1,INS,0,44.663202,-63.486935
BS158,8286,Sinclair St After Highwood St (8286),1,INS,0,44.674536,-63.558926
