facility_id,facility_name,town,postal_code,zone,facility_type,sea_participating,longitude,latitude,facility_total_beds,bed_type,is_core_bed,beds
CLCT,Celtic Court,Sydney,B1S 2R5,Eastern,Nursing Home,Y,-60.194658,46.121974,36,residential_respite,0,0
CMRC,Hilltop Villa (Clarmar),Dartmouth,B2X 1S3,Central,Residential Care Facility,Y,-63.532626,44.68353,14,nursing,1,0
CMRC,Hilltop Villa (Clarmar),Dartmouth,B2X 1S3,Central,Residential Care Facility,Y,-63.532626,44.68353,14,nursing_respite,0,0
CMRC,Hilltop Villa (Clarmar),Dartmouth,B2X 1S3,Central,Residential Care Facility,Y,-63.532626,44.68353,14,residential,1,14
CMRC,Hilltop Villa (Clarmar),Dartmouth,B2X 1S3,Central,Residential Care Facility,Y,-63.532626,44.68353,14,residential_respite,0,0
CNSM,Canso Seaside Manor,Canso,B0H 1H0,Eastern,Nursing Home,Y,-60.983719,45.33237,15,nursing,1,15
CNSM,Canso Seaside Manor,Canso,B0H 1H0,Eastern,Nursing Home,Y,-60.983719,45.33237,15,nursing_respite,0,0
CNSM,Canso Seaside Manor,Canso,B0H 1H0,Eastern,Nursing Home,Y,-60.983719,45.33237,15,residential,1,0
CNSM,Canso Seaside Manor,Canso,B0H 1H0,Eastern,Nursing Home,Y,-60.983719,45.33237,15,residential_respite,0,0
CTVL,Centennial Villa,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189907,45.82403,29,nursing,1,29
CTVL,Centennial Villa,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189907,45.82403,29,nursing_respite,0,0
CTVL,Centennial Villa,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189907,45.82403,29,residential,1,0
CTVL,Centennial Villa,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189907,45.82403,29,residential_respite,0,0
CVGH,The Cove Guest Home,Sydney,B1S 2G1,Eastern,Nursing Home,Y,-60.19791,46.121793,110,nursing,1,110
CVGH,The Cove Guest Home,Sydney,B1S 2G1,Eastern,Nursing Home,Y,-60.19791,46.121793,110,nursing_respite,0,0
CVGH,The Cove Guest Home,Sydney,B1S 2G1,Eastern,Nursing Home,Y,-60.19791,46.121793,110,residential,1,0
CVGH,The Cove Guest Home,Sydney,B1S 2G1,Eastern,Nursing Home,Y,-60.19791,46.121793,110,residential_respite,0,0
DBCT,Debert Court Continuing Care Residence,Debert,B0M 1G0,Northern,Nursing Home,Y,-63.453285,45.435409,36,nursing,1,36
DBCT,Debert Court Continuing Care Residence,Debert,B0M 1G0,Northern,Nursing Home,Y,-63.453285,45.435409,36,nursing_respite,0,0
DBCT,Debert Court Continuing Care Residence,Debert,B0M 1G0,Northern,Nursing Home,Y,-63.453285,45.435409,36,residential,1,0
DBCT,Debert Court Continuing Care Residence,Debert,B0M 1G0,Northern,Nursing Home,Y,-63.453285,45.435409,36,residential_respite,0,0
DBGH,Dutch Brook Guest Home,Dutch Brook,B1L 1G1,Eastern,Residential Care Facility,Y,-60.201403,46.051639,3,nursing,1,0
DBGH,Dutch Brook Guest Home,Dutch Brook,B1L 1G1,Eastern,Residential Care Facility,Y,-60.201403,46.051639,3,nursing_respite,0,0
DBGH,Dutch Brook Guest Home,Dutch Brook,B1L 1G1,Eastern,Residential Care Facility,Y,-60.201403,46.051639,3,residential,1,3
DBGH,Dutch Brook Guest Home,Dutch Brook,B1L 1G1,Eastern,Residential Care Facility,Y,-60.201403,46.051639,3,residential_respite,0,0
DKLG,Dykeland Lodge,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.126986,44.979764,111,nursing,1,111
DKLG,Dykeland Lodge,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.126986,44.979764,111,nursing_respite,0,0
DKLG,Dykeland Lodge,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.126986,44.979764,111,residential,1,0
DKLG,Dykeland Lodge,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.126986,44.979764,111,residential_respite,0,0
DPHC,De Paul Hall (Caritas),Halifax,B3M 0C9,Central,Nursing Home,Y,-63.649664,44.669572,46,nursing,1,46
DPHC,De Paul Hall (Caritas),Halifax,B3M 0C9,Central,Nursing Home,Y,-63.649664,44.669572,46,nursing_respite,0,1
DPHC,De Paul Hall (Caritas),Halifax,B3M 0C9,Central,Nursing Home,Y,-63.649664,44.669572,46,residential,1,0
DPHC,De Paul Hall (Caritas),Halifax,B3M 0C9,Central,Nursing Home,Y,-63.649664,44.669572,46,residential_respite,0,0
ECML,East Cumberland Lodge,Pugwash,B0K 1L0,Northern,Nursing Home,Y,-63.65757,45.856526,73,nursing,1,73
ECML,East Cumberland Lodge,Pugwash,B0K 1L0,Northern,Nursing Home,Y,-63.65757,45.856526,73,nursing_respite,0,1
ECML,East Cumberland Lodge,Pugwash,B0K 1L0,Northern,Nursing Home,Y,-63.65757,45.856526,73,residential,1,0
ECML,East Cumberland Lodge,Pugwash,B0K 1L0,Northern,Nursing Home,Y,-63.65757,45.856526,73,residential_respite,0,0
EHSC,Evergreen Home for Special Care,Kentville,B4N 3V7,Western,Nursing Home,Y,-64.540058,45.076292,116,nursing,1,116
EHSC,Evergreen Home for Special Care,Kentville,B4N 3V7,Western,Nursing Home,Y,-64.540058,45.076292,116,nursing_respite,0,3
EHSC,Evergreen Home for Special Care,Kentville,B4N 3V7,Western,Nursing Home,Y,-64.540058,45.076292,116,residential,1,0
EHSC,Evergreen Home for Special Care,Kentville,B4N 3V7,Western,Nursing Home,Y,-64.540058,45.076292,116,residential_respite,0,0
EKCT,Elk Court,Brookfield,B0N 1C0,Northern,Nursing Home,Y,-63.277128,45.257989,35,nursing,1,35
EKCT,Elk Court,Brookfield,B0N 1C0,Northern,Nursing Home,Y,-63.277128,45.257989,35,nursing_respite,0,1
EKCT,Elk Court,Brookfield,B0N 1C0,Northern,Nursing Home,Y,-63.277128,45.257989,35,residential,1,0
EKCT,Elk Court,Brookfield,B0N 1C0,Northern,Nursing Home,Y,-63.277128,45.257989,35,residential_respite,0,0
FMVM,Fishermen's Memorial Hospital,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.326952,44.382276,16,nursing,1,16
FMVM,Fishermen's Memorial Hospital,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.326952,44.382276,16,nursing_respite,0,0
FMVM,Fishermen's Memorial Hospital,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.326952,44.382276,16,residential,1,0
FMVM,Fishermen's Memorial Hospital,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.326952,44.382276,16,residential_respite,0,0
FYCL,Foyer Celeste,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.169521,44.183646,19,nursing,1,0
FYCL,Foyer Celeste,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.169521,44.183646,19,nursing_respite,0,0
FYCL,Foyer Celeste,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.169521,44.183646,19,residential,1,19
FYCL,Foyer Celeste,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.169521,44.183646,19,residential_respite,0,0
FYPF,Foyer Pére Fiset,Cheticamp,B0E 1H0,Eastern,Nursing Home and Residential Care Facility,Y,-61.015741,46.623439,70,nursing,1,60
FYPF,Foyer Pére Fiset,Cheticamp,B0E 1H0,Eastern,Nursing Home and Residential Care Facility,Y,-61.015741,46.623439,70,nursing_respite,0,1
FYPF,Foyer Pére Fiset,Cheticamp,B0E 1H0,Eastern,Nursing Home and Residential Care Facility,Y,-61.015741,46.623439,70,residential,1,10
FYPF,Foyer Pére Fiset,Cheticamp,B0E 1H0,Eastern,Nursing Home and Residential Care Facility,Y,-61.015741,46.623439,70,residential_respite,0,0
