permit_number,issue_year,issue_month,community,district,work_type,primary_work_scope,project_value,net_new_units,storeys,permit_status,lat,lon
BP-2021-03547,2021,8,HALIFAX,District 11,Renovation,Renovation,500.0,1,3,Completed,44.63027171256306,-63.6252713675798
BP-2021-03573,,,MIDDLE SACKVILLE,District 14,Renovation,Renovation,157000.0,0,2,Cancelled,44.789401011907344,-63.714349795577306
BP-2021-03596,2021,3,WESTPHAL,District 04,Renovation,Renovation,52000.0,0,2,Expired,44.69203174248251,-63.495981028339486
BP-2021-03610,2021,4,HALIFAX,District 09,Addition,Addition,150000.0,0,2,Issued,44.64821302353364,-63.6164125147358
BP-2021-03621,2021,3,FALL RIVER,District 01,New Building,New Building,1300000.0,1,2,Completed,44.81463549061166,-63.64284844169566
BP-2021-03653,2021,3,COLE HARBOUR,District 04,New Building,New Building,313500.0,1,2,Completed,44.6470675808888,-63.46411214785942
BP-2021-03666,2021,4,TIMBERLEA,District 12,New Building,New Building,200000.0,1,2,Completed,44.641597118907086,-63.721223570189466
BP-2021-03714,2021,6,DARTMOUTH,District 05,Renovation,Renovation,44500.0,0,12,Expired (Closed),44.666918282205884,-63.57139625207966
BP-2021-03734,2021,4,TIMBERLEA,District 12,New Building,New Building,200000.0,1,2,Completed,44.641007435198254,-63.722002252690906
BP-2021-03764,2021,7,BEDFORD,District 16,Renovation,Renovation,79980.0,0,4,Expired (Closed),44.71868722000032,-63.686524992369534
BP-2021-03783,2021,3,BEDFORD,District 16,New Building,New Building,530000.0,1,2,Completed,44.70319005758723,-63.71698057966904
BP-2021-03796,2021,3,BEDFORD,District 16,New Building,New Building,530000.0,1,2,Completed,44.70310573548887,-63.7166260666563
BP-2021-03809,2021,3,LUCASVILLE,District 14,Addition,Addition,110777.0,0,1,Expired,44.77141310902626,-63.72666347125925
BP-2021-03821,2021,3,BEDFORD,District 16,New Building,New Building,530000.0,1,2,Completed,44.70263123235255,-63.71518275677735
BP-2021-03830,2021,3,BEDFORD,District 16,New Building,New Building,530000.0,1,2,Completed,44.702616768731815,-63.714837593739915
BP-2021-03873,2021,3,LUCASVILLE,District 14,New Building,New Building,37000.0,1,2,Completed,44.76450917907514,-63.73625409628207
BP-2021-03888,2021,5,MUSQUODOBOIT HARBOUR,District 02,Renovation,Renovation,48800.0,0,2,Completed,44.78638481289316,-63.14713886277952
BP-2021-03900,2021,3,HALIFAX,District 10,Renovation,Renovation,42000.0,0,3,Completed,44.66078578252591,-63.63217424530165
BP-2021-03909,2021,4,LOWER SACKVILLE,District 15,Renovation,Renovation,53000.0,0,2,Completed,44.772868797129355,-63.689615474827576
BP-2021-03915,2021,4,HALIFAX,District 08,Renovation,Renovation,44200.0,0,15,Completed,44.651856281977565,-63.58544010535536
BP-2021-03927,2021,4,HALIFAX,District 09,Addition,Addition,528500.0,-1,2,Completed,44.64664718610332,-63.63218341795004
BP-2021-03957,2021,5,BEDFORD,District 16,Renovation,Renovation,341197.0,0,1,Completed,44.74045206436728,-63.654358883569074
BP-2021-03999,,,HAMMONDS PLAINS,District 14,New Building,New Building,12000.0,0,1,Withdrawn,44.75497785910751,-63.778707914436865
BP-2021-04045,2021,4,HAMMONDS PLAINS,District 14,Addition,Addition,438000.0,0,2,Completed,44.71105818490294,-63.76110437927999
BP-2021-04083,,,PORTUGUESE COVE,District 11,New Building,New Building,650000.0,1,2,Withdrawn,44.527697345986745,-63.53620398519656
BP-2021-04099,2021,6,HALIFAX,District 10,Renovation,Renovation,62000.0,1,1,Issued,44.6518855303649,-63.63973869385712
