sample_date,sample_time,sample_year,location_id,location,analyte,sample_fraction,result_unit,result_value,guideline_unit,guideline_threshold,guideline_direction,row_class,is_evaluated,is_pass,is_non_detect,is_censored_above
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Dissolved oxygen (DO),(not stated),mg/l,12.320000,mg/l,6.500,minimum,evaluated,1,1,0,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Dissolved oxygen (DO),(not stated),mg/l,11.050000,mg/l,6.500,minimum,evaluated,1,1,0,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Dissolved oxygen (DO),(not stated),mg/l,8.890000,mg/l,6.500,minimum,evaluated,1,1,0,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Dissolved oxygen (DO),(not stated),mg/l,10.540000,mg/l,6.500,minimum,evaluated,1,1,0,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Dissolved oxygen (DO),(not stated),mg/l,12.780000,mg/l,6.500,minimum,evaluated,1,1,0,
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Iron,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,124.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,50.000000,ug/l,300.000,maximum,evaluated,1,1,1,0
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,137.000000,ug/l,300.000,maximum,evaluated,1,1,0,
