object_id,fiscal_year,fiscal_year_start,nsbi_sector,nsbi_county,county_is_geographic,deal_type,account_name,place_name,postalcode,nsbi_financial_contribution,has_contribution,latitude,longitude,is_mappable,in_ns_bounds
927,2019-2020,2019,Aerospace & Defence,Halifax,1,EGP,Bluedrop Training & Simulation Inc.,Halfax,B3S 1N2,6475.00,1,44.6552672,-63.6722465,1,1
928,2019-2020,2019,Agri-food,Halifax,1,SBDP,Oberland Agriscience Inc.,Halifax,B3S 1C2,7818.00,1,44.6266728,-63.6687641,1,1
929,2019-2020,2019,Agri-food,Halifax,1,EGP,Oberland Agriscience Inc.,Halifax,B3S 1C2,715.00,1,44.6266728,-63.6687641,1,1
930,2019-2020,2019,Advanced Manufacturing,Halifax,1,PIVP,LED Roadway Lighting Ltd.,Halifax,B3S 1B3,25000.00,1,44.6395722,-63.6666819,1,1
931,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Deprolabs Technology Inc.,Halifax,B3S 0G5,2226.00,1,44.6532783,-63.6734833,1,1
932,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Deprolabs Technology Inc.,Halifax,B3S 0G5,650.00,1,44.6532783,-63.6734833,1,1
933,2019-2020,2019,Finance & Insurance,Halifax,1,Payroll Rebate,MUFG Fund Services (Halifax) Limited*,Halifax,B3S 0C9,2220000.00,1,44.6491545,-63.6565041,1,1
934,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,NS Sports Media Pros Ltd.,Halifax,B3S 0B9,21300.00,1,44.6406462,-63.6728245,1,1
935,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Social Navigator Inc.,Halifax,B3S 0B9,25000.00,1,44.6406462,-63.6728245,1,1
936,2019-2020,2019,Film Production,Halifax,1,EGP,Alright Pictures Inc.,Halifax,B3P 2M5,1140.00,1,44.6187531,-63.6118801,1,1
937,2019-2020,2019,Energy,Halifax,1,EGP,Glas Ocean Electric Inc.,Halifax,B3P 2H3,14270.00,1,44.6146007,-63.5805338,1,1
938,2019-2020,2019,Business Services,Halifax,1,EMGP,Enginuity Inc.,Halifax,B3P 1M1,50000.00,1,44.6182511,-63.616651,1,1
939,2019-2020,2019,Agri-food,Halifax,1,EGP,Ednaturals Bar,Halifax,B3P 1H5,892.00,1,44.617402,-63.6123087,1,1
940,2019-2020,2019,ICT (includes Digital Media),Halifax,1,PIVP,Grey Lit Matters Inc.,Halifax,B3P 1A8,25000.00,1,44.6300731,-63.6080148,1,1
941,2019-2020,2019,Agri-food,Halifax,1,EGP,Ocean Fresh Seafood,Halifax,B3N 3M3,1871.00,1,44.6423948,-63.6351191,1,1
