"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"2287","4303","3488 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62004368","44.65745215","(44.65745215, -63.62004368)"
"2288","4303","3490 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62007439","44.65750639","(44.65750639, -63.62007439)"
"2289","4303","3492 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62009887","44.657557","(44.657557, -63.62009887)"
"2290","4303","3494 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62012705","44.65761033","(44.65761033, -63.62012705)"
"2291","4303","3496 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62015405","44.65766092","(44.65766092, -63.62015405)"
"2292","4303","3473 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61929439","44.65714042","(44.65714042, -63.61929439)"
"2293","4303","3475 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6193213","44.65719729","(44.65719729, -63.6193213)"
"2294","4303","3477 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.619347","44.6572479","(44.6572479, -63.619347)"
"2295","4303","3479 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61937264","44.65730031","(44.65730031, -63.61937264)"
"2296","4303","3481 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61941427","44.65738611","(44.65738611, -63.61941427)"
"2297","4303","3483 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6196051","44.657357","(44.657357, -63.6196051)"
"2298","4303","3485 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61963451","44.65741211","(44.65741211, -63.61963451)"
"2299","4303","3487 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61967031","44.65746191","(44.65746191, -63.61967031)"
"2300","4303","3489 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61969345","44.65751695","(44.65751695, -63.61969345)"
"2301","4303","3491 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61971915","44.65756755","(44.65756755, -63.61971915)"
"2302","4303","3493 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61976087","44.6576462","(44.6576462, -63.61976087)"
"2303","4303","3424 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62088971","44.6566253","(44.6566253, -63.62088971)"
"2304","4303","3426 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62087252","44.65667829","(44.65667829, -63.62087252)"
"2305","4303","3428 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62087146","44.65674665","(44.65674665, -63.62087146)"
"2306","4303","3429 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62047242","44.65712071","(44.65712071, -63.62047242)"
"2307","4303","3430 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62087069","44.65679618","(44.65679618, -63.62087069)"
"2308","4303","3431 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62047665","44.65717382","(44.65717382, -63.62047665)"
"2309","4303","3482 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61995825","44.65726882","(44.65726882, -63.61995825)"
"2310","4303","3433 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62047082","44.65722326","(44.65722326, -63.62047082)"
"2311","4303","3434 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62087517","44.65691857","(44.65691857, -63.62087517)"
"2312","4303","3435 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62046467","44.65729519","(44.65729519, -63.62046467)"
"2313","4303","3437 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62044739","44.65735539","(44.65735539, -63.62044739)"
