"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"1","4601","1602 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12639941","44.9759401","(44.9759401, -64.12639941)"
"2","4601","1604 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12696406","44.97622715","(44.97622715, -64.12696406)"
"3","4601","1600 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12708982","44.97638052","(44.97638052, -64.12708982)"
"4","4601","1608 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12682555","44.97608269","(44.97608269, -64.12682555)"
"5","4601","1612 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12667425","44.97593823","(44.97593823, -64.12667425)"
"6","4601","1616 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12651022","44.9758207","(44.9758207, -64.12651022)"
"7","4601","1614 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12619422","44.9757704","(44.9757704, -64.12619422)"
"8","4601","1606 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12633414","44.97588439","(44.97588439, -64.12633414)"
"9","4601","1618 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12651022","44.9758207","(44.9758207, -64.12651022)"
"10","4601","1610 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12626886","44.97582868","(44.97582868, -64.12626886)"
"11","4604","665 OBrien St","Windsor","1","45054590","Western Regional Housing Authority","Hants","Town of Windsor","-64.12880111","44.98997114","(44.98997114, -64.12880111)"
"12","4604","24 Underwood Dr","Windsor","1","45055118","Western Regional Housing Authority","Hants","Town of Windsor","-64.11935738","44.9837974","(44.9837974, -64.11935738)"
"13","4604","28 Underwood Dr","Windsor","1","45055092","Western Regional Housing Authority","Hants","Town of Windsor","-64.11877391","44.98381341","(44.98381341, -64.11877391)"
"14","4604","30 Underwood Dr","Windsor","1","45055084","Western Regional Housing Authority","Hants","Town of Windsor","-64.11848212","44.98383945","(44.98383945, -64.11848212)"
"15","4604","26 Underwood Dr","Windsor","1","45055100","Western Regional Housing Authority","Hants","Town of Windsor","-64.11909095","44.98380547","(44.98380547, -64.11909095)"
"16","4805","283 Panuke Rd","Three Mile Plains","1","45202173","Western Regional Housing Authority","Hants","West Hants","-64.08538655","44.95171528","(44.95171528, -64.08538655)"
"17","4805","279 Panuke Rd","Three Mile Plains","1","45202165","Western Regional Housing Authority","Hants","West Hants","-64.08534149","44.95187834","(44.95187834, -64.08534149)"
"18","4805","2561 Highway 215","Upper Burlington","1","45156692","Western Regional Housing Authority","Hants","West Hants","-64.05939089","45.05661005","(45.05661005, -64.05939089)"
"19","4807","28 Alexander Dr","Three Mile Plains","1","45205580","Western Regional Housing Authority","Hants","West Hants","-64.11742639","44.96193784","(44.96193784, -64.11742639)"
"20","4807","32 Alexander Dr","Three Mile Plains","1","45205572","Western Regional Housing Authority","Hants","West Hants","-64.11761981","44.96207143","(44.96207143, -64.11761981)"
"21","4809","186 Lantz Rd","Bramber","1","45204831","Western Regional Housing Authority","Hants","West Hants","-64.16034627","45.18016067","(45.18016067, -64.16034627)"
"22","4809","79 New Cheverie Rd","Lower Burlington","1","45204930","Western Regional Housing Authority","Hants","West Hants","-64.11718802","45.08843594","(45.08843594, -64.11718802)"
"23","4810","4 MacLeod Crt","Three Mile Plains","1","45215217","Western Regional Housing Authority","Hants","West Hants","-64.08344832","44.95757787","(44.95757787, -64.08344832)"
"24","4810","578 Town Rd","Falmouth","1","45170636","Western Regional Housing Authority","Hants","West Hants","-64.18128865","44.99463444","(44.99463444, -64.18128865)"
"25","4805","2551 Highway 215","Upper Burlington","1","45156700","Western Regional Housing Authority","Hants","West Hants","-64.05906471","45.05610485","(45.05610485, -64.05906471)"
"26","4811","8293 Highway 215","Cambridge","1","45174299","Western Regional Housing Authority","Hants","West Hants","-64.08931738","45.2036214","(45.2036214, -64.08931738)"
"27","4810","138 Gabriel Rd","Falmouth","1","45030681","Western Regional Housing Authority","Hants","West Hants","-64.16573747","44.99365394","(44.99365394, -64.16573747)"
"28","4811","7760 Highway 1","Ardoise","1","45012119","Western Regional Housing Authority","Hants","West Hants","-63.92200751","44.94104493","(44.94104493, -63.92200751)"
"29","5408","2693 Morse Rd","Carleton Corner","1","5143185","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28793907","44.82671617","(44.82671617, -65.28793907)"
"30","5408","2695 Morse Rd","Carleton Corner","1","5143185","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28765965","44.82674512","(44.82674512, -65.28765965)"
"31","5408","451 Old Post Rd","Clementsport","1","5092853","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.6001528","44.68014173","(44.68014173, -65.6001528)"
"32","5410","2721 Morse Rd","Carleton Corner","1","5143128","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28856137","44.82783683","(44.82783683, -65.28856137)"
"33","5410","2727 Morse Rd","Carleton Corner","1","5143110","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28871694","44.82811474","(44.82811474, -65.28871694)"
"34","5410","8608 Highway 201","Nictaux","1","5072350","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.05863049","44.91984457","(44.91984457, -65.05863049)"
"35","5410","8618 Highway 201","Nictaux","1","5072343","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.05836611","44.92001685","(44.92001685, -65.05836611)"
"36","5408","453 Old Post Rd","Clementsport","1","5092853","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.5998878","44.68009548","(44.68009548, -65.5998878)"
"37","5413","633 Inglewood Rd","Beaconsfield","1","5170980","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.31036754","44.86782176","(44.86782176, -65.31036754)"
"38","5414","3362 Highway 201","Centrelea","1","5167135","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.33589021","44.81430701","(44.81430701, -65.33589021)"
"39","5415","22 Fitch Rd","Lawrencetown","1","5179213","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.15098477","44.89096246","(44.89096246, -65.15098477)"
"40","5413","1485 Inglisville Rd","Inglisville","1","5004833","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.10571509","44.85860641","(44.85860641, -65.10571509)"
"41","5415","26 Fitch Rd","Lawrencetown","1","5179205","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.15110105","44.89116882","(44.89116882, -65.15110105)"
"42","5703","242 Commercial St","Middleton","1","5030721","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07421955","44.95241315","(44.95241315, -65.07421955)"
"43","5703","258 Commercial St","Middleton","1","5031240","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07474469","44.95328823","(44.95328823, -65.07474469)"
"44","5703","260 Commercial St","Middleton","1","5031240","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07481285","44.95339669","(44.95339669, -65.07481285)"
"45","5703","262 Commercial St","Middleton","1","5030739","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.074881","44.95350515","(44.95350515, -65.074881)"
"46","5703","264 Commercial St","Middleton","1","5030739","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07494916","44.95361362","(44.95361362, -65.07494916)"
"47","5703","266 Commercial St","Middleton","1","5030747","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07501731","44.95372208","(44.95372208, -65.07501731)"
"48","5703","268 Commercial St","Middleton","1","5030747","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07508468","44.95383046","(44.95383046, -65.07508468)"
"49","5703","270 Commercial St","Middleton","1","5030754","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07515202","44.95393918","(44.95393918, -65.07515202)"
"50","5703","272 Commercial St","Middleton","1","5030754","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07521936","44.9540479","(44.9540479, -65.07521936)"
"51","5703","274 Commercial St","Middleton","1","5030762","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07528669","44.95415662","(44.95415662, -65.07528669)"
"52","5703","276 Commercial St","Middleton","1","5030762","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07535403","44.95426534","(44.95426534, -65.07535403)"
"53","5703","280 Commercial St","Middleton","1","5030770","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.0754887","44.95448278","(44.95448278, -65.0754887)"
"54","5703","282 Commercial St","Middleton","1","5030770","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07555604","44.9545915","(44.9545915, -65.07555604)"
"55","5703","240 Commercial St","Middleton","1","5030721","Western Regional Housing Authority","Annapolis","Town of Middleton","-65.07414973","44.95230962","(44.95230962, -65.07414973)"
"56","5801","91 Third Ave","Digby","2","30226971","Western Regional Housing Authority","Digby","Town of Digby","-65.76007633","44.61855088","(44.61855088, -65.76007633)"
"57","5801","130 Third Ave","Digby","1","30225981","Western Regional Housing Authority","Digby","Town of Digby","-65.76082323","44.62220555","(44.62220555, -65.76082323)"
"58","5801","134 Third Ave","Digby","1","30225999","Western Regional Housing Authority","Digby","Town of Digby","-65.76090369","44.62242965","(44.62242965, -65.76090369)"
"59","5801","132 Third Ave","Digby","1","30225981","Western Regional Housing Authority","Digby","Town of Digby","-65.76093109","44.62213085","(44.62213085, -65.76093109)"
"60","5801","136 Third Ave","Digby","1","30225999","Western Regional Housing Authority","Digby","Town of Digby","-65.76102672","44.6224212","(44.6224212, -65.76102672)"
"61","5801","131 King St","Digby","2","30225932","Western Regional Housing Authority","Digby","Town of Digby","-65.76019583","44.62232948","(44.62232948, -65.76019583)"
"62","5801","133 King St","Digby","2","30225924","Western Regional Housing Authority","Digby","Town of Digby","-65.76025071","44.62253589","(44.62253589, -65.76025071)"
"63","5801","93 Third Ave","Digby","2","30226963","Western Regional Housing Authority","Digby","Town of Digby","-65.76009522","44.61901609","(44.61901609, -65.76009522)"
"64","5805","27 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75421662","44.6144395","(44.6144395, -65.75421662)"
"65","5805","25 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75404278","44.61445964","(44.61445964, -65.75404278)"
"66","5805","31 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.7542593","44.614664","(44.614664, -65.7542593)"
"67","5805","29 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75414607","44.61476699","(44.61476699, -65.75414607)"
"68","5805","33 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75424937","44.61507434","(44.61507434, -65.75424937)"
"69","5805","22 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75466455","44.61417357","(44.61417357, -65.75466455)"
"70","5805","26 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75471859","44.61434397","(44.61434397, -65.75471859)"
"71","5805","24 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.7548578","44.61411429","(44.61411429, -65.7548578)"
"72","5805","30 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75477308","44.61453238","(44.61453238, -65.75477308)"
"73","5805","28 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75495694","44.61440324","(44.61440324, -65.75495694)"
"74","5805","32 Queen St","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75505608","44.61469219","(44.61469219, -65.75505608)"
"75","5807","92 Church St","Digby","4","30226344","Western Regional Housing Authority","Digby","Town of Digby","-65.76527147","44.62104037","(44.62104037, -65.76527147)"
"76","5812","31 King St","Digby","1","30228753","Western Regional Housing Authority","Digby","Town of Digby","-65.7575678","44.61442065","(44.61442065, -65.7575678)"
"77","5809","132 Victoria St","Digby","4","30225627","Western Regional Housing Authority","Digby","Town of Digby","-65.76634659","44.62120376","(44.62120376, -65.76634659)"
"78","5812","97 Sydney St","Digby","1","30225684","Western Regional Housing Authority","Digby","Town of Digby","-65.76633619","44.62248654","(44.62248654, -65.76633619)"
"79","5805","23 First Ave","Digby","1","30229066","Western Regional Housing Authority","Digby","Town of Digby","-65.75413664","44.61423334","(44.61423334, -65.75413664)"
"80","5905","167 C Leblanc Br","Mavillette","1","30097828","Western Regional Housing Authority","Digby","Municipality of the District of Clare","-66.17021558","44.09763355","(44.09763355, -66.17021558)"
"81","5905","192 Langford Rd","Weaver Settlement","1","30023766","Western Regional Housing Authority","Digby","Municipality of the District of Clare","-65.9238056","44.37143996","(44.37143996, -65.9238056)"
"82","5905","489 Eustace Comeau Rd","Lower Saulnierville","1","30061451","Western Regional Housing Authority","Digby","Municipality of the District of Clare","-66.10901892","44.23238441","(44.23238441, -66.10901892)"
"83","6006","12575 Highway 217","Seabrook","1","30194112","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.77161949","44.6209069","(44.6209069, -65.77161949)"
"84","6006","12571 Highway 217","Seabrook","1","30194112","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.77181849","44.62078767","(44.62078767, -65.77181849)"
"85","6006","12563 Highway 217","Seabrook","1","30194112","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.77226676","44.62053969","(44.62053969, -65.77226676)"
"86","6006","12567 Highway 217","Seabrook","1","30194112","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.7720303","44.62067732","(44.62067732, -65.7720303)"
"87","6007","871 Sissiboo Rd","Weymouth Mills","2","30209340","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.9434021","44.41217184","(44.41217184, -65.9434021)"
"88","6007","863 Sissiboo Rd","Weymouth Mills","1","30209332","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.94384089","44.41215692","(44.41215692, -65.94384089)"
"89","6007","134 Old Yarmouth Rd","Weaver Settlement","1","30221139","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.93891574","44.38640674","(44.38640674, -65.93891574)"
"90","6009","110 Beechwood Lane","Conway","1","30266688","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.7708276","44.59346456","(44.59346456, -65.7708276)"
"91","6009","6 Jordantown Cross Rd","Conway","1","30266670","Western Regional Housing Authority","Digby","Municipality of the District of Digby","-65.77130689","44.59323686","(44.59323686, -65.77130689)"
"92","5102","2 Inglewood Ave","Kentville","1","55252712","Western Regional Housing Authority","Kings","Town of Kentville","-64.50290576","45.07044652","(45.07044652, -64.50290576)"
"93","5905","7670 Highway 1","Meteghan","1","30264436","Western Regional Housing Authority","Digby","Municipality of the District of Clare","-66.18065344","44.16936932","(44.16936932, -66.18065344)"
"94","5102","6 Inglewood Ave","Kentville","1","55252746","Western Regional Housing Authority","Kings","Town of Kentville","-64.50260621","45.07023047","(45.07023047, -64.50260621)"
"95","5102","232 Prospect Ave","Kentville","1","55252563","Western Regional Housing Authority","Kings","Town of Kentville","-64.50270783","45.07058716","(45.07058716, -64.50270783)"
"96","5102","10 Minas St","Kentville","1","55261143","Western Regional Housing Authority","Kings","Town of Kentville","-64.50156771","45.07032067","(45.07032067, -64.50156771)"
"97","5102","8 Inglewood Ave","Kentville","1","55252746","Western Regional Housing Authority","Kings","Town of Kentville","-64.50289764","45.07025619","(45.07025619, -64.50289764)"
"98","5102","4 Inglewood Ave","Kentville","1","55252712","Western Regional Housing Authority","Kings","Town of Kentville","-64.50314993","45.07042812","(45.07042812, -64.50314993)"
"99","5102","226 Prospect Ave","Kentville","1","55252555","Western Regional Housing Authority","Kings","Town of Kentville","-64.5025322","45.07074303","(45.07074303, -64.5025322)"
"100","5102","234 Prospect Ave","Kentville","1","55252563","Western Regional Housing Authority","Kings","Town of Kentville","-64.50319023","45.07051801","(45.07051801, -64.50319023)"
"101","5102","12 Minas St","Kentville","1","55261143","Western Regional Housing Authority","Kings","Town of Kentville","-64.50179806","45.07040191","(45.07040191, -64.50179806)"
"102","5102","14 Minas St","Kentville","1","55261150","Western Regional Housing Authority","Kings","Town of Kentville","-64.50180283","45.07020047","(45.07020047, -64.50180283)"
"103","5102","228 Prospect Ave","Kentville","1","55252555","Western Regional Housing Authority","Kings","Town of Kentville","-64.50299984","45.07064287","(45.07064287, -64.50299984)"
"104","5102","17 Minas St","Kentville","1","55261119","Western Regional Housing Authority","Kings","Town of Kentville","-64.50237087","45.07033644","(45.07033644, -64.50237087)"
"105","5102","19 Minas St","Kentville","1","55261119","Western Regional Housing Authority","Kings","Town of Kentville","-64.50239998","45.07014921","(45.07014921, -64.50239998)"
"106","5102","18 Minas St","Kentville","1","55261168","Western Regional Housing Authority","Kings","Town of Kentville","-64.50198719","45.07003652","(45.07003652, -64.50198719)"
"107","5102","20 Minas St","Kentville","1","55261168","Western Regional Housing Authority","Kings","Town of Kentville","-64.50229352","45.07006953","(45.07006953, -64.50229352)"
"108","5105","32 Sherry Ave","Kentville","1","55258818","Western Regional Housing Authority","Kings","Town of Kentville","-64.48993644","45.0890005","(45.0890005, -64.48993644)"
"109","5105","34 Sherry Ave","Kentville","1","55258800","Western Regional Housing Authority","Kings","Town of Kentville","-64.48998335","45.08922371","(45.08922371, -64.48998335)"
"110","5102","16 Minas St","Kentville","1","55261150","Western Regional Housing Authority","Kings","Town of Kentville","-64.50204579","45.07023572","(45.07023572, -64.50204579)"
"111","5105","35 Sherry Ave","Kentville","1","55258776","Western Regional Housing Authority","Kings","Town of Kentville","-64.49032253","45.08954814","(45.08954814, -64.49032253)"
"112","5105","36 Sherry Ave","Kentville","1","55258792","Western Regional Housing Authority","Kings","Town of Kentville","-64.49001131","45.0894563","(45.0894563, -64.49001131)"
"113","5205","7 Dale St","Wolfville","1","55276802","Western Regional Housing Authority","Kings","Town of Wolfville","-64.34968704","45.09010896","(45.09010896, -64.34968704)"
"114","5301","121 Mee Rd","North Kentville","1","55034961","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47978851","45.09124985","(45.09124985, -64.47978851)"
"115","5301","127 Mee Rd","North Kentville","1","55034979","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.4795344","45.09140281","(45.09140281, -64.4795344)"
"116","5301","133 Mee Rd","North Kentville","1","55034987","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47924214","45.09155573","(45.09155573, -64.47924214)"
"117","5301","137 Mee Rd","North Kentville","1","55034995","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47901339","45.09170865","(45.09170865, -64.47901339)"
"118","5301","143 Mee Rd","North Kentville","1","55035000","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47879737","45.09185263","(45.09185263, -64.47879737)"
"119","5301","149 Mee Rd","North Kentville","1","55035018","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47849239","45.09205053","(45.09205053, -64.47849239)"
"120","5205","11 Dale St","Wolfville","1","55276794","Western Regional Housing Authority","Kings","Town of Wolfville","-64.34945838","45.09012666","(45.09012666, -64.34945838)"
"121","5301","155 Mee Rd","North Kentville","1","55035026","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47827631","45.09223048","(45.09223048, -64.47827631)"
"122","5301","161 Mee Rd","North Kentville","1","55035034","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47816198","45.09235646","(45.09235646, -64.47816198)"
"123","5301","324 Applecrest Dr","North Kentville","1","55032031","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.4752983","45.08599316","(45.08599316, -64.4752983)"
"124","5301","332 Belcher St","North Kentville","1","55033161","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47476324","45.08570138","(45.08570138, -64.47476324)"
"125","5305","1068 Cavelle Ave","Canning","1","55008031","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42509538","45.16066392","(45.16066392, -64.42509538)"
"126","5305","1072 Cavelle Ave","Canning","1","55008049","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42481552","45.16068171","(45.16068171, -64.42481552)"
"127","5301","123 Mee Rd","North Kentville","1","55034961","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47981905","45.09099213","(45.09099213, -64.47981905)"
"128","5301","135 Mee Rd","North Kentville","1","55034987","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47913409","45.0913879","(45.0913879, -64.47913409)"
"129","5301","139 Mee Rd","North Kentville","1","55034995","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47891279","45.09152367","(45.09152367, -64.47891279)"
"130","5301","145 Mee Rd","North Kentville","1","55035000","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.4785801","45.09173254","(45.09173254, -64.4785801)"
"131","5301","151 Mee Rd","North Kentville","1","55035018","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47827165","45.09194333","(45.09194333, -64.47827165)"
"132","5301","129 Mee Rd","North Kentville","1","55034979","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47947729","45.09119183","(45.09119183, -64.47947729)"
"133","5301","157 Mee Rd","North Kentville","1","55035026","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47800506","45.09216863","(45.09216863, -64.47800506)"
"134","5301","326 Applecrest Dr","North Kentville","1","55032031","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47553604","45.08594839","(45.08594839, -64.47553604)"
"135","5305","1076 Cavelle Ave","Canning","1","55008056","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42457383","45.16074459","(45.16074459, -64.42457383)"
"136","5304","332 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96217774","44.98660061","(44.98660061, -64.96217774)"
"137","5304","336 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96189931","44.98667375","(44.98667375, -64.96189931)"
"138","5304","342 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96168434","44.98674661","(44.98674661, -64.96168434)"
"139","5304","346 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96143123","44.98681059","(44.98681059, -64.96143123)"
"140","5304","350 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96120363","44.9868925","(44.9868925, -64.96120363)"
"141","5304","1461 Lincoln Crt","Kingston","1","55085815","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96172631","44.98723238","(44.98723238, -64.96172631)"
"142","5304","1465 Lincoln Crt","Kingston","1","55085807","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96182916","44.98741195","(44.98741195, -64.96182916)"
"143","5321","1041 Cavelle Terr","Canning","1","55008023","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42551547","45.16041224","(45.16041224, -64.42551547)"
"144","5321","1043 Cavelle Terr","Canning","1","55020515","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42560431","45.16056527","(45.16056527, -64.42560431)"
"145","5304","1469 Lincoln Crt","Kingston","1","55085799","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96184325","44.98759189","(44.98759189, -64.96184325)"
"146","5321","1470 Lincoln Crt","Kingston","1","55085765","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96114687","44.98772068","(44.98772068, -64.96114687)"
"147","5321","357 Lincoln St","Kingston","1","55085740","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96082769","44.987452","(44.987452, -64.96082769)"
"148","5321","353 Lincoln St","Kingston","1","55085757","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96110599","44.98736986","(44.98736986, -64.96110599)"
"149","5324","1035 Cavelle Terr","Canning","1","55008080","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42535045","45.16013317","(45.16013317, -64.42535045)"
"325","6103","3 Murphy Ave","Yarmouth","2","90210758","Western Regional Housing Authority","Yarmouth","Town of Yarmouth","-66.1129674","43.82995444","(43.82995444, -66.1129674)"
"150","5324","1037 Cavelle Terr","Canning","1","55008072","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42547754","45.16026823","(45.16026823, -64.42547754)"
"151","5321","1472 Lincoln Crt","Kingston","1","55085773","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96138855","44.98781871","(44.98781871, -64.96138855)"
"152","5324","1040 Cavelle Terr","Canning","1","55008064","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42499392","45.16042985","(45.16042985, -64.42499392)"
"153","5324","1473 Lincoln Crt","Kingston","1","55085781","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96167987","44.9877725","(44.9877725, -64.96167987)"
"154","5324","171 Mee Rd","North Kentville","1","55035042","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47770443","45.09273431","(45.09273431, -64.47770443)"
"155","5301","334 Belcher St","North Kentville","1","55033161","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47450235","45.08558205","(45.08558205, -64.47450235)"
"156","5324","1083 Sandy Crt","Aylesford","1","55092399","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.83931701","45.02863547","(45.02863547, -64.83931701)"
"157","5324","177 Mee Rd","North Kentville","1","55035059","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47750109","45.09295024","(45.09295024, -64.47750109)"
"158","5324","953 Kelly Dr","Aylesford","1","55137103","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.84554742","45.02010354","(45.02010354, -64.84554742)"
"159","5324","3140 Cornwallis Cres","Coldbrook","1","55153282","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.56927787","45.06934105","(45.06934105, -64.56927787)"
"160","5305","1074 Cavelle Ave","Canning","1","55008049","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42477133","45.1608552","(45.1608552, -64.42477133)"
"161","5301","163 Mee Rd","North Kentville","1","55035034","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47774841","45.09239905","(45.09239905, -64.47774841)"
"162","5304","334 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96226294","44.986755","(44.986755, -64.96226294)"
"163","5324","3056 Highway 358","Norths Corner","1","55020390","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42575401","45.19244872","(45.19244872, -64.42575401)"
"164","5305","1070 Cavelle Ave","Canning","1","55008031","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.4249922","45.16081646","(45.16081646, -64.4249922)"
"165","5305","1078 Cavelle Ave","Canning","1","55008056","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42455105","45.16089457","(45.16089457, -64.42455105)"
"166","5304","348 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.9614542","44.98699425","(44.98699425, -64.9614542)"
"167","5304","344 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96168527","44.98692589","(44.98692589, -64.96168527)"
"168","5304","352 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96123896","44.98705752","(44.98705752, -64.96123896)"
"169","5304","338 Lincoln St","Kingston","1","55085658","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96203187","44.98682336","(44.98682336, -64.96203187)"
