section,rank,measure,year,county,port,records,kgs,dollars,published_dollars,price_per_kg,share_pct,cumulative_share_pct,delta,delta_pct
county_coverage,97,"",2017,Pictou,"",13,,38064930.40,50019468.94,,,,-11954538.54,-23.90
county_coverage,98,"",2018,Pictou,"",13,,17934031.46,25479352.38,,,,-7545320.92,-29.61
county_coverage,99,"",2019,Pictou,"",13,,26630757.00,37758466.00,,,,-11127709.00,-29.47
county_coverage,100,"",2020,Pictou,"",13,,10291565.78,17857104.81,,,,-7565539.03,-42.37
county_coverage,101,"",2021,Pictou,"",13,,19054197.91,35390017.14,,,,-16335819.23,-46.16
county_coverage,102,"",2022,Pictou,"",13,,7687697.58,38552718.04,,,,-30865020.46,-80.06
county_coverage,103,"",2023,Pictou,"",13,,6083573.92,25360169.89,,,,-19276595.97,-76.01
county_coverage,104,"",2024,Pictou,"",13,,13980828.35,24929872.00,,,,-10949043.65,-43.92
county_coverage,105,"",2017,Queens,"",11,,20457035.40,27990295.71,,,,-7533260.31,-26.91
county_coverage,106,"",2018,Queens,"",11,,40369209.94,43293778.42,,,,-2924568.48,-6.76
county_coverage,107,"",2019,Queens,"",11,,58734200.00,63996194.00,,,,-5261994.00,-8.22
county_coverage,108,"",2020,Queens,"",11,,25296857.80,30882683.47,,,,-5585825.67,-18.09
county_coverage,109,"",2021,Queens,"",11,,39631242.93,58723694.07,,,,-19092451.14,-32.51
county_coverage,110,"",2022,Queens,"",11,,44007583.73,47524529.44,,,,-3516945.71,-7.40
county_coverage,111,"",2023,Queens,"",11,,60006133.59,63547501.46,,,,-3541367.87,-5.57
county_coverage,112,"",2024,Queens,"",11,,62432335.68,67617175.15,,,,-5184839.47,-7.67
county_coverage,113,"",2017,Richmond,"",11,,34445569.31,113348928.30,,,,-78903358.99,-69.61
county_coverage,114,"",2018,Richmond,"",11,,80097626.80,89861909.98,,,,-9764283.18,-10.87
county_coverage,115,"",2019,Richmond,"",11,,48861667.00,81623580.00,,,,-32761913.00,-40.14
county_coverage,116,"",2020,Richmond,"",11,,21717036.46,50926044.55,,,,-29209008.09,-57.36
county_coverage,117,"",2021,Richmond,"",10,,49634011.57,90662700.10,,,,-41028688.53,-45.25
county_coverage,118,"",2022,Richmond,"",10,,24120382.34,83784783.57,,,,-59664401.23,-71.21
county_coverage,119,"",2023,Richmond,"",10,,13956141.98,42136675.54,,,,-28180533.56,-66.88
county_coverage,120,"",2024,Richmond,"",10,,14190971.15,47885686.81,,,,-33694715.66,-70.36
county_coverage,121,"",2017,Shelburne,"",30,,222063295.76,230315328.05,,,,-8252032.29,-3.58
county_coverage,122,"",2018,Shelburne,"",30,,230420969.59,236425824.00,,,,-6004854.41,-2.54
county_coverage,123,"",2019,Shelburne,"",29,,248047565.00,249855662.00,,,,-1808097.00,-0.72
county_coverage,124,"",2020,Shelburne,"",29,,278926443.99,284112756.55,,,,-5186312.56,-1.83
county_coverage,125,"",2021,Shelburne,"",30,,468230437.55,477100867.10,,,,-8870429.55,-1.86
county_coverage,126,"",2022,Shelburne,"",32,,213794354.13,218911052.86,,,,-5116698.73,-2.34
county_coverage,127,"",2023,Shelburne,"",34,,233763268.87,239047902.38,,,,-5284633.51,-2.21
county_coverage,128,"",2024,Shelburne,"",34,,293630035.47,309127839.62,,,,-15497804.15,-5.01
county_coverage,129,"",2017,Victoria,"",17,,9480054.33,34904111.76,,,,-25424057.43,-72.84
county_coverage,130,"",2018,Victoria,"",17,,10735258.84,31947296.78,,,,-21212037.94,-66.40
county_coverage,131,"",2019,Victoria,"",17,,18015661.00,34860840.00,,,,-16845179.00,-48.32
county_coverage,132,"",2020,Victoria,"",17,,2505320.03,16975701.20,,,,-14470381.17,-85.24
county_coverage,133,"",2021,Victoria,"",17,,4778206.19,37432083.23,,,,-32653877.04,-87.23
county_coverage,134,"",2022,Victoria,"",17,,5236985.93,33788779.99,,,,-28551794.06,-84.50
county_coverage,135,"",2023,Victoria,"",17,,4021303.56,30421240.90,,,,-26399937.34,-86.78
county_coverage,136,"",2024,Victoria,"",17,,4571516.92,30728667.58,,,,-26157150.66,-85.12
county_coverage,137,"",2017,Yarmouth,"",24,,166894387.33,182525141.42,,,,-15630754.09,-8.56
county_coverage,138,"",2018,Yarmouth,"",24,,210374482.35,213247904.62,,,,-2873422.27,-1.35
county_coverage,139,"",2019,Yarmouth,"",24,,251815721.00,261212767.00,,,,-9397046.00,-3.60
county_coverage,140,"",2020,Yarmouth,"",24,,390120177.24,401768264.44,,,,-11648087.20,-2.90
county_coverage,141,"",2021,Yarmouth,"",24,,527275674.97,498459132.11,,,,28816542.86,5.78
county_coverage,142,"",2022,Yarmouth,"",24,,216647068.15,238033595.13,,,,-21386526.98,-8.98
county_coverage,143,"",2023,Yarmouth,"",24,,270299654.89,277326875.82,,,,-7027220.93,-2.53
county_coverage,144,"",2024,Yarmouth,"",24,,264583774.60,291938973.18,,,,-27355198.58,-9.37
