program_type,source_id,county,municipality,community,property_label,housing_authority,units,latitude,longitude
Families,2293,Halifax,Halifax Regional Municipality,Halifax,3475 Micmac St,Metropolitan Regional Housing Authority,1,44.65719729,-63.6193213
Families,2294,Halifax,Halifax Regional Municipality,Halifax,3477 Micmac St,Metropolitan Regional Housing Authority,1,44.6572479,-63.619347
Families,2295,Halifax,Halifax Regional Municipality,Halifax,3479 Micmac St,Metropolitan Regional Housing Authority,1,44.65730031,-63.61937264
Families,2296,Halifax,Halifax Regional Municipality,Halifax,3481 Micmac St,Metropolitan Regional Housing Authority,1,44.65738611,-63.61941427
Families,2297,Halifax,Halifax Regional Municipality,Halifax,3483 Micmac St,Metropolitan Regional Housing Authority,1,44.657357,-63.6196051
Families,2298,Halifax,Halifax Regional Municipality,Halifax,3485 Micmac St,Metropolitan Regional Housing Authority,1,44.65741211,-63.61963451
Families,2299,Halifax,Halifax Regional Municipality,Halifax,3487 Micmac St,Metropolitan Regional Housing Authority,1,44.65746191,-63.61967031
Families,2300,Halifax,Halifax Regional Municipality,Halifax,3489 Micmac St,Metropolitan Regional Housing Authority,1,44.65751695,-63.61969345
Families,2301,Halifax,Halifax Regional Municipality,Halifax,3491 Micmac St,Metropolitan Regional Housing Authority,1,44.65756755,-63.61971915
Families,2302,Halifax,Halifax Regional Municipality,Halifax,3493 Micmac St,Metropolitan Regional Housing Authority,1,44.6576462,-63.61976087
Families,2303,Halifax,Halifax Regional Municipality,Halifax,3424 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.6566253,-63.62088971
Families,2304,Halifax,Halifax Regional Municipality,Halifax,3426 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65667829,-63.62087252
Families,2305,Halifax,Halifax Regional Municipality,Halifax,3428 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65674665,-63.62087146
Families,2306,Halifax,Halifax Regional Municipality,Halifax,3429 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65712071,-63.62047242
Families,2307,Halifax,Halifax Regional Municipality,Halifax,3430 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65679618,-63.62087069
Families,2308,Halifax,Halifax Regional Municipality,Halifax,3431 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65717382,-63.62047665
Families,2309,Halifax,Halifax Regional Municipality,Halifax,3482 Micmac St,Metropolitan Regional Housing Authority,1,44.65726882,-63.61995825
Families,2310,Halifax,Halifax Regional Municipality,Halifax,3433 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65722326,-63.62047082
Families,2311,Halifax,Halifax Regional Municipality,Halifax,3434 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65691857,-63.62087517
Families,2312,Halifax,Halifax Regional Municipality,Halifax,3435 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65729519,-63.62046467
Families,2313,Halifax,Halifax Regional Municipality,Halifax,3437 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65735539,-63.62044739
Families,2314,Halifax,Halifax Regional Municipality,Halifax,3439 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65740128,-63.62045179
Families,2315,Halifax,Halifax Regional Municipality,Halifax,3441 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65749316,-63.62057265
Families,2316,Halifax,Halifax Regional Municipality,Halifax,3443 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65751314,-63.62071611
Families,2317,Halifax,Halifax Regional Municipality,Halifax,3445 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65752941,-63.62084447
Families,2318,Halifax,Halifax Regional Municipality,Halifax,3446 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65707395,-63.62082992
Families,2319,Halifax,Halifax Regional Municipality,Halifax,3448 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65709727,-63.62093547
Families,2320,Halifax,Halifax Regional Municipality,Halifax,3449 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65737092,-63.62094775
Families,2321,Halifax,Halifax Regional Municipality,Halifax,3450 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65712044,-63.62102595
Families,2322,Halifax,Halifax Regional Municipality,Halifax,3451 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65740568,-63.62102166
Families,2323,Halifax,Halifax Regional Municipality,Halifax,3452 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65708687,-63.62110589
Families,2324,Halifax,Halifax Regional Municipality,Halifax,3453 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.6573686,-63.62110792
Families,2325,Halifax,Halifax Regional Municipality,Halifax,3454 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65711443,-63.62117988
Families,2326,Halifax,Halifax Regional Municipality,Halifax,3455 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65740703,-63.6211918
Families,2327,Halifax,Halifax Regional Municipality,Halifax,3456 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65713401,-63.62126527
Families,2328,Halifax,Halifax Regional Municipality,Halifax,3458 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65685877,-63.62152546
Families,2329,Halifax,Halifax Regional Municipality,Halifax,3460 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65690382,-63.62152472
Families,2330,Halifax,Halifax Regional Municipality,Halifax,3462 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65695326,-63.62151767
Families,2331,Halifax,Halifax Regional Municipality,Halifax,3464 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65704046,-63.62150631
Families,2332,Halifax,Halifax Regional Municipality,Halifax,3466 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65708629,-63.62150053
Families,2333,Halifax,Halifax Regional Municipality,Halifax,3468 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65712861,-63.62149992
Families,2334,Halifax,Halifax Regional Municipality,Halifax,3470 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65685325,-63.62185587
Families,2335,Halifax,Halifax Regional Municipality,Halifax,3472 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65691435,-63.62184358
Families,2336,Halifax,Halifax Regional Municipality,Halifax,3474 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65696742,-63.62184276
Families,2337,Halifax,Halifax Regional Municipality,Halifax,3476 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65703584,-63.62184178
Families,2338,Halifax,Halifax Regional Municipality,Halifax,3478 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65708517,-63.62182464
Families,2339,Halifax,Halifax Regional Municipality,Halifax,3480 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65719919,-63.62178636
Families,2340,Halifax,Halifax Regional Municipality,Halifax,3482 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65725586,-63.6217855
Families,2341,Halifax,Halifax Regional Municipality,Halifax,3484 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.657309,-63.62178468
Families,2342,Halifax,Halifax Regional Municipality,Halifax,3486 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65736556,-63.6217725
Families,2343,Halifax,Halifax Regional Municipality,Halifax,3488 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65741869,-63.62177168
Families,2344,Halifax,Halifax Regional Municipality,Halifax,3489 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65741604,-63.6214262
Families,2345,Halifax,Halifax Regional Municipality,Halifax,3490 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65747985,-63.62177079
Families,2346,Halifax,Halifax Regional Municipality,Halifax,3491 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65747359,-63.62142534
Families,2347,Halifax,Halifax Regional Municipality,Halifax,3492 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65759431,-63.6217905
Families,2348,Halifax,Halifax Regional Municipality,Halifax,3493 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65753382,-63.62141312
Families,2349,Halifax,Halifax Regional Municipality,Halifax,3494 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65768883,-63.62178907
Families,2350,Halifax,Halifax Regional Municipality,Halifax,3495 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65777322,-63.62141576
Families,2351,Halifax,Halifax Regional Municipality,Halifax,3497 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65782269,-63.62141507
Families,2352,Halifax,Halifax Regional Municipality,Halifax,3499 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65789559,-63.62141397
Families,2353,Halifax,Halifax Regional Municipality,Halifax,6640 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65793198,-63.61959387
Families,2354,Halifax,Halifax Regional Municipality,Halifax,6641 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65822676,-63.61977227
Families,2355,Halifax,Halifax Regional Municipality,Halifax,6644 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.6579164,-63.61966977
Families,2356,Halifax,Halifax Regional Municipality,Halifax,6645 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65820649,-63.61982426
Families,2357,Halifax,Halifax Regional Municipality,Halifax,6648 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65789537,-63.61974317
Families,2358,Halifax,Halifax Regional Municipality,Halifax,6649 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65819084,-63.61990015
Families,2359,Halifax,Halifax Regional Municipality,Halifax,6652 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65787257,-63.61982046
Families,2360,Halifax,Halifax Regional Municipality,Halifax,6655 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65816582,-63.62015268
Families,2361,Halifax,Halifax Regional Municipality,Halifax,6656 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65785594,-63.61988502
Families,2362,Halifax,Halifax Regional Municipality,Halifax,6659 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.6581953,-63.62024681
Families,2363,Halifax,Halifax Regional Municipality,Halifax,3432 Mcalpine Ave,Metropolitan Regional Housing Authority,1,44.65685742,-63.62087606
Families,2364,Halifax,Halifax Regional Municipality,Halifax,6663 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65815984,-63.62031166
Families,2365,Halifax,Halifax Regional Municipality,Halifax,6666 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65783458,-63.62038344
Families,2366,Halifax,Halifax Regional Municipality,Halifax,6667 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65820263,-63.62037409
Families,2367,Halifax,Halifax Regional Municipality,Halifax,6670 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65779468,-63.62046348
Families,2368,Halifax,Halifax Regional Municipality,Halifax,6671 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65817272,-63.62046531
Families,2369,Halifax,Halifax Regional Municipality,Halifax,6674 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65782764,-63.62053737
Families,2370,Halifax,Halifax Regional Municipality,Halifax,6675 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65820378,-63.62052664
Families,2371,Halifax,Halifax Regional Municipality,Halifax,6677 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65817548,-63.62058889
Families,2372,Halifax,Halifax Regional Municipality,Halifax,6678 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65784775,-63.62068711
Families,2373,Halifax,Halifax Regional Municipality,Halifax,6681 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65820937,-63.62066401
Families,2374,Halifax,Halifax Regional Municipality,Halifax,6682 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65782235,-63.62078334
Families,2375,Halifax,Halifax Regional Municipality,Halifax,6686 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65784554,-63.62086869
Families,2376,Halifax,Halifax Regional Municipality,Halifax,6690 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65786505,-63.6209479
Families,2377,Halifax,Halifax Regional Municipality,Halifax,6694 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65783962,-63.621039
Families,2378,Halifax,Halifax Regional Municipality,Halifax,6698 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65785552,-63.62111825
Families,2379,Halifax,Halifax Regional Municipality,Halifax,6702 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65786692,-63.62119248
Families,2380,Halifax,Halifax Regional Municipality,Halifax,6709 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65814854,-63.62141643
Families,2381,Halifax,Halifax Regional Municipality,Halifax,6711 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65818941,-63.62146874
Families,2382,Halifax,Halifax Regional Municipality,Halifax,6713 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65814511,-63.62155647
Families,2383,Halifax,Halifax Regional Municipality,Halifax,6715 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65817722,-63.6216367
Families,2384,Halifax,Halifax Regional Municipality,Halifax,6717 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.6582039,-63.62171069
Families,2385,Halifax,Halifax Regional Municipality,Halifax,6720 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65789826,-63.62175686
Families,2386,Halifax,Halifax Regional Municipality,Halifax,6724 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65790153,-63.62182872
Families,2387,Halifax,Halifax Regional Municipality,Halifax,6728 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65790226,-63.62192833
Families,2388,Halifax,Halifax Regional Municipality,Halifax,2404 Adams Ave,Metropolitan Regional Housing Authority,1,44.65545893,-63.58638194
Families,2389,Halifax,Halifax Regional Municipality,Halifax,2406 Adams Ave,Metropolitan Regional Housing Authority,1,44.65549346,-63.58642545
Families,2390,Halifax,Halifax Regional Municipality,Halifax,2408 Adams Ave,Metropolitan Regional Housing Authority,1,44.65552364,-63.58648048
Families,2391,Halifax,Halifax Regional Municipality,Halifax,2410 Adams Ave,Metropolitan Regional Housing Authority,1,44.65555633,-63.58652161
Families,2392,Halifax,Halifax Regional Municipality,Halifax,2412 Adams Ave,Metropolitan Regional Housing Authority,1,44.65559374,-63.58658151
Families,2393,Halifax,Halifax Regional Municipality,Halifax,2414 Adams Ave,Metropolitan Regional Housing Authority,1,44.65563557,-63.58663259
Families,2394,Halifax,Halifax Regional Municipality,Halifax,2366 Breen Ave,Metropolitan Regional Housing Authority,1,44.65547889,-63.58685316
Families,2395,Halifax,Halifax Regional Municipality,Halifax,2368 Breen Ave,Metropolitan Regional Housing Authority,1,44.65544883,-63.58680823
Families,2396,Halifax,Halifax Regional Municipality,Halifax,2370 Breen Ave,Metropolitan Regional Housing Authority,1,44.65541423,-63.58675454
Families,2397,Halifax,Halifax Regional Municipality,Halifax,2372 Breen Ave,Metropolitan Regional Housing Authority,1,44.65537686,-63.58669716
Families,2398,Halifax,Halifax Regional Municipality,Halifax,2374 Breen Ave,Metropolitan Regional Housing Authority,1,44.65534406,-63.58664341
Families,2399,Halifax,Halifax Regional Municipality,Halifax,2376 Breen Ave,Metropolitan Regional Housing Authority,1,44.65530492,-63.58659236
Families,2400,Halifax,Halifax Regional Municipality,Halifax,2403 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65503325,-63.58694085
Families,2401,Halifax,Halifax Regional Municipality,Halifax,2404 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65487132,-63.58717538
Families,2402,Halifax,Halifax Regional Municipality,Halifax,2405 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65506791,-63.58700456
Families,2403,Halifax,Halifax Regional Municipality,Halifax,2407 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65511149,-63.58705182
Families,2404,Halifax,Halifax Regional Municipality,Halifax,2408 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65493958,-63.58727395
Families,2405,Halifax,Halifax Regional Municipality,Halifax,2409 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65514159,-63.58709928
Families,2406,Halifax,Halifax Regional Municipality,Halifax,2411 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65517892,-63.58715291
Families,2407,Halifax,Halifax Regional Municipality,Halifax,2412 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65500524,-63.58737877
Families,2408,Halifax,Halifax Regional Municipality,Halifax,2413 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65521165,-63.58719779
Families,2409,Halifax,Halifax Regional Municipality,Halifax,2416 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65506798,-63.58746483
Families,2410,Halifax,Halifax Regional Municipality,Halifax,2420 Cragg Ave,Metropolitan Regional Housing Authority,1,44.65513627,-63.58755835
Families,2411,Halifax,Halifax Regional Municipality,Halifax,2447 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65563476,-63.58788587
Families,2412,Halifax,Halifax Regional Municipality,Halifax,2449 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65567383,-63.58792943
Families,2413,Halifax,Halifax Regional Municipality,Halifax,2451 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65571114,-63.58798681
Families,2414,Halifax,Halifax Regional Municipality,Halifax,2453 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65574319,-63.58805066
Families,2415,Halifax,Halifax Regional Municipality,Halifax,6662 Chisholm Ave,Metropolitan Regional Housing Authority,1,44.65778323,-63.62025935
Families,2416,Halifax,Halifax Regional Municipality,Halifax,2455 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65578948,-63.58810161
Families,2417,Halifax,Halifax Regional Municipality,Halifax,2457 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65581947,-63.58813645
Families,2418,Halifax,Halifax Regional Municipality,Halifax,2458 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65563882,-63.588283
Families,2419,Halifax,Halifax Regional Municipality,Halifax,2459 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65584506,-63.58819029
Families,2420,Halifax,Halifax Regional Municipality,Halifax,2454 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65558422,-63.58820817
Families,2421,Halifax,Halifax Regional Municipality,Halifax,2461 Cardiff Pl,Metropolitan Regional Housing Authority,1,44.65587594,-63.5882213
Families,2422,Halifax,Halifax Regional Municipality,Halifax,2439 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65567067,-63.58753859
Families,2423,Halifax,Halifax Regional Municipality,Halifax,2441 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65570786,-63.58757455
Families,2424,Halifax,Halifax Regional Municipality,Halifax,2443 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65574251,-63.58762954
Families,2425,Halifax,Halifax Regional Municipality,Halifax,2445 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65578164,-63.58768434
Families,2426,Halifax,Halifax Regional Municipality,Halifax,2447 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65581444,-63.58773679
Families,2427,Halifax,Halifax Regional Municipality,Halifax,2448 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65568688,-63.58787752
Families,2428,Halifax,Halifax Regional Municipality,Halifax,2449 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65585085,-63.58778797
Families,2429,Halifax,Halifax Regional Municipality,Halifax,2451 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65588727,-63.58783908
Families,2430,Halifax,Halifax Regional Municipality,Halifax,2452 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65576162,-63.58799237
Families,2431,Halifax,Halifax Regional Municipality,Halifax,2453 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65592005,-63.58788395
Families,2432,Halifax,Halifax Regional Municipality,Halifax,2455 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65595458,-63.58792876
Families,2433,Halifax,Halifax Regional Municipality,Halifax,2456 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65582169,-63.5880784
Families,2434,Halifax,Halifax Regional Municipality,Halifax,2457 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65598559,-63.58797998
Families,2435,Halifax,Halifax Regional Municipality,Halifax,2460 Olympic Crt,Metropolitan Regional Housing Authority,1,44.65588625,-63.58816057
Families,2436,Halifax,Halifax Regional Municipality,Halifax,2445 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65596008,-63.58737896
Families,2437,Halifax,Halifax Regional Municipality,Halifax,2447 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65598839,-63.58742388
Families,2438,Halifax,Halifax Regional Municipality,Halifax,2449 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65602123,-63.58748138
Families,2439,Halifax,Halifax Regional Municipality,Halifax,2451 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65605767,-63.58753883
Families,2440,Halifax,Halifax Regional Municipality,Halifax,2452 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65594937,-63.58783555
Families,2441,Halifax,Halifax Regional Municipality,Halifax,2453 Bristol Pl,Metropolitan Regional Housing Authority,1,44.6560904,-63.58758249
Families,2442,Halifax,Halifax Regional Municipality,Halifax,2455 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65612955,-63.58763353
Families,2443,Halifax,Halifax Regional Municipality,Halifax,2456 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65598484,-63.58788795
Families,2444,Halifax,Halifax Regional Municipality,Halifax,2457 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65617136,-63.58768705
Families,2445,Halifax,Halifax Regional Municipality,Halifax,2459 Bristol Pl,Metropolitan Regional Housing Authority,1,44.65620417,-63.58773828
Families,2446,Halifax,Halifax Regional Municipality,Halifax,5457 Heron Walk,Metropolitan Regional Housing Authority,1,44.65504417,-63.58651196
Families,2447,Halifax,Halifax Regional Municipality,Halifax,5461 Heron Walk,Metropolitan Regional Housing Authority,1,44.65498014,-63.58660757
Families,2448,Halifax,Halifax Regional Municipality,Halifax,5459 Heron Walk,Metropolitan Regional Housing Authority,1,44.65501307,-63.58655782
Families,2449,Halifax,Halifax Regional Municipality,Halifax,5463 Heron Walk,Metropolitan Regional Housing Authority,1,44.6549365,-63.58666243
Families,2450,Halifax,Halifax Regional Municipality,Halifax,5465 Heron Walk,Metropolitan Regional Housing Authority,1,44.65490174,-63.58670711
Families,2451,Halifax,Halifax Regional Municipality,Halifax,5467 Heron Walk,Metropolitan Regional Housing Authority,1,44.65487332,-63.5867517
Families,2452,Halifax,Halifax Regional Municipality,Halifax,5469 Heron Walk,Metropolitan Regional Housing Authority,1,44.65484401,-63.5868001
Families,2453,Halifax,Halifax Regional Municipality,Halifax,5471 Heron Walk,Metropolitan Regional Housing Authority,1,44.65480393,-63.58685116
Families,2454,Halifax,Halifax Regional Municipality,Halifax,5473 Heron Walk,Metropolitan Regional Housing Authority,1,44.65476834,-63.58690088
Families,2455,Halifax,Halifax Regional Municipality,Halifax,5475 Heron Walk,Metropolitan Regional Housing Authority,1,44.65473182,-63.58694938
Families,2456,Halifax,Halifax Regional Municipality,Halifax,5477 Heron Walk,Metropolitan Regional Housing Authority,1,44.65470603,-63.58699138
Families,2457,Halifax,Halifax Regional Municipality,Halifax,2458 Aukland Pl,Metropolitan Regional Housing Authority,1,44.65634497,-63.5874524
Families,2458,Halifax,Halifax Regional Municipality,Halifax,2454 Aukland Pl,Metropolitan Regional Housing Authority,1,44.65631488,-63.58740364
Families,2459,Halifax,Halifax Regional Municipality,Halifax,2439 Middle Lane,Metropolitan Regional Housing Authority,1,44.65598086,-63.58704577
Families,2460,Halifax,Halifax Regional Municipality,Halifax,2441 Middle Lane,Metropolitan Regional Housing Authority,1,44.65603612,-63.58709536
Families,2461,Halifax,Halifax Regional Municipality,Halifax,2443 Middle Lane,Metropolitan Regional Housing Authority,1,44.65606898,-63.58714903
Families,2462,Halifax,Halifax Regional Municipality,Halifax,2445 Middle Lane,Metropolitan Regional Housing Authority,1,44.6561081,-63.5872039
Families,2463,Halifax,Halifax Regional Municipality,Halifax,2447 Middle Lane,Metropolitan Regional Housing Authority,1,44.6561454,-63.58725371
Families,2464,Halifax,Halifax Regional Municipality,Halifax,2448 Middle Lane,Metropolitan Regional Housing Authority,1,44.6560361,-63.58742696
Families,2465,Halifax,Halifax Regional Municipality,Halifax,2449 Middle Lane,Metropolitan Regional Housing Authority,1,44.65617812,-63.58729859
Families,2466,Halifax,Halifax Regional Municipality,Halifax,2451 Middle Lane,Metropolitan Regional Housing Authority,1,44.65621738,-63.58736234
Families,2467,Halifax,Halifax Regional Municipality,Halifax,2453 Middle Lane,Metropolitan Regional Housing Authority,1,44.65624916,-63.58739964
Families,2468,Halifax,Halifax Regional Municipality,Halifax,2455 Middle Lane,Metropolitan Regional Housing Authority,1,44.65628642,-63.58744448
Families,2469,Halifax,Halifax Regional Municipality,Halifax,2456 Middle Lane,Metropolitan Regional Housing Authority,1,44.65617542,-63.58763278
Families,2470,Halifax,Halifax Regional Municipality,Halifax,2457 Middle Lane,Metropolitan Regional Housing Authority,1,44.65631652,-63.58749193
Families,2471,Halifax,Halifax Regional Municipality,Halifax,2459 Middle Lane,Metropolitan Regional Housing Authority,1,44.65634653,-63.58753303
Families,2472,Halifax,Halifax Regional Municipality,Halifax,5412 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65666165,-63.58743857
Families,2473,Halifax,Halifax Regional Municipality,Halifax,5414 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65662602,-63.58748455
Families,2474,Halifax,Halifax Regional Municipality,Halifax,5416 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65658954,-63.58753679
Families,2475,Halifax,Halifax Regional Municipality,Halifax,5418 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65655755,-63.58758525
Families,2476,Halifax,Halifax Regional Municipality,Halifax,5420 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65652363,-63.58762481
Families,2477,Halifax,Halifax Regional Municipality,Halifax,5422 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65648529,-63.58766701
Families,2478,Halifax,Halifax Regional Municipality,Halifax,5438 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65638276,-63.58778968
Families,2479,Halifax,Halifax Regional Municipality,Halifax,5440 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65634184,-63.58784579
Families,2480,Halifax,Halifax Regional Municipality,Halifax,5442 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65630348,-63.58789051
Families,2481,Halifax,Halifax Regional Municipality,Halifax,5444 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65627238,-63.58793646
Families,2482,Halifax,Halifax Regional Municipality,Halifax,5446 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65624482,-63.58798227
Families,2483,Halifax,Halifax Regional Municipality,Halifax,5448 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65621103,-63.58803071
Families,2484,Halifax,Halifax Regional Municipality,Halifax,5450 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65616994,-63.58807549
Families,2485,Halifax,Halifax Regional Municipality,Halifax,5452 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65613339,-63.58811893
Families,2486,Halifax,Halifax Regional Municipality,Halifax,5466 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65607276,-63.58829895
Families,2487,Halifax,Halifax Regional Municipality,Halifax,5470 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65599781,-63.58838329
Families,2488,Halifax,Halifax Regional Municipality,Halifax,5468 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65603437,-63.58833863
Families,2489,Halifax,Halifax Regional Municipality,Halifax,5472 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65596417,-63.5884481
Families,2490,Halifax,Halifax Regional Municipality,Halifax,5474 Sunrise Walk,Metropolitan Regional Housing Authority,1,44.65592576,-63.58849038
