"county","name","type","easting","northing","primary_stocking_objective","secondary_stocking_objective","number_released","stocking_date","growth_stage","mark","hatchery","fish_length_cm","fish_weight_g","stock","stock_strain"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"499","1977-05-02T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Coldbrook","17.000","63.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"252","1978-05-01T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Coldbrook","22.500","169.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"300","1978-05-23T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Coldbrook","22.800","143.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"455","1980-05-12T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Coldbrook","22.500","153.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Fall Stocking Program",,"3000","1980-10-07T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","Coldbrook","15.500","58.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1875","1985-06-20T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","20.200","91.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"600","1988-05-03T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","17.800","65.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1988-05-24T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","21.600","76.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1500","1989-05-04T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","114.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1989-05-24T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","114.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
