section,rank,measure,zone,facility,procedure,period,year_quarter_index,value,surgery_rows,surgery_breaches,surgery_breach_pct,consult_rows,consult_breaches,consult_breach_pct,qoq_surgery_breach_pct,meets_min_rows,surgery_median,surgery_90th,surgery_tail_gap,consult_median,consult_90th,consult_tail_gap
worst_procedures,77,"","",IWK,Insertion Vascular Access Catheter,2023_q2,8094,17,17,0,0.00,0,0,,,1,69,300,231,,,
worst_procedures,78,"","",QE2,Kidney / Upper Urinary Tract,2023_q2,8094,18,18,0,0.00,8,1,12.50,,1,57,267,210,,,
worst_procedures,79,"","",QE2,Kidney Removal,2024_q3,8099,18,18,0,0.00,9,0,0.00,,1,87,182,95,13,54,41
worst_procedures,80,"","",Cape Breton Regional,Kidney Stone Surgery,2024_q3,8099,45,36,0,0.00,27,0,0.00,,1,100,225,125,,,
worst_procedures,81,"","",QE2,Lacrimal Duct Probing,2025_q2,8102,9,9,0,0.00,0,0,,,1,146,264,118,,,
worst_procedures,82,"","",QE2,Laryngology and Vocal Cord Surgery,2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,141,569,428,26,75,49
worst_procedures,83,"","",QE2,Liver Surgery,2025_q1,8101,9,9,0,0.00,9,0,0.00,,1,49,77,28,11,21,10
worst_procedures,84,"","",QE2,Lung Cancer Surgery,2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,43,103,60,27,54,27
worst_procedures,85,"","",QE2,Lung Surgery,2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,43,108,65,26,54,28
worst_procedures,86,"","",QE2,Melanoma Excision,2024_q1,8097,9,9,0,0.00,9,0,0.00,,1,24,55,31,35,138,103
worst_procedures,87,"","",QE2,Nerve Surgery,2024_q3,8099,9,9,0,0.00,9,3,33.33,,1,61,89,28,51,139,88
worst_procedures,88,"","",QE2,Nose Surgery - Reconstructive or Aesthetic,2023_q4,8096,9,9,0,0.00,8,1,12.50,,1,42,245,203,20,53,33
worst_procedures,89,"","",QE2,Orthopaedic Trauma,2024_q3,8099,18,18,0,0.00,0,0,,,1,109,134,25,,,
worst_procedures,90,"","",Aberdeen Hospital,Pacemaker Insertion,2025_q2,8102,9,9,0,0.00,0,0,,,1,63,88,25,,,
worst_procedures,91,"","",South Shore Regional,Palmar Fascia Excision for Dupuytren's Disease,2024_q1,8097,26,18,0,0.00,26,19,73.08,,1,155,309,154,133,750,617
worst_procedures,92,"","",QE2,Pancreas Surgery,2025_q2,8102,9,9,0,0.00,9,0,0.00,,1,37,61,24,14,32,18
worst_procedures,93,"","",QE2,Peritoneal Lavage or Catherization,2025_q1,8101,9,9,0,0.00,0,0,,,1,23,45,22,,,
worst_procedures,94,"","",QE2,Prostate Cancer Surgery,2024_q2,8098,9,9,0,0.00,9,0,0.00,,1,172,239,67,20,42,22
worst_procedures,95,"","",QE2,Prostate Surgery - Laparoscopic,2024_q2,8098,9,9,0,0.00,9,0,0.00,,1,174,239,65,20,42,22
worst_procedures,96,"","",QE2,Prostatectomy,2024_q2,8098,9,9,0,0.00,9,0,0.00,,1,174,239,65,20,42,22
worst_procedures,97,"","",QE2,Sacral Nerve Stimulation,2025_q1,8101,9,9,0,0.00,0,0,,,1,173,240,67,,,
worst_procedures,98,"","",QE2,Spinal Cord Stimulation Surgery,2024_q1,8097,9,9,0,0.00,0,0,,,1,120,216,96,,,
worst_procedures,99,"","",QE2,Video-Assisted Thoracic Surgery,2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,43,108,65,27,56,29
worst_procedures,100,"","",QE2,Vitreoretinal Diseases,2024_q3,8099,9,9,0,0.00,9,0,0.00,,1,27,104,77,34,182,148
worst_procedures,101,"","",QE2,Whipple Procedures,2025_q2,8102,9,9,0,0.00,9,0,0.00,,1,37,46,9,13,22,9
worst_procedures,102,"","",IWK,Male Circumcision (Pediatric),2024_q2,8098,8,8,3,37.50,0,0,,,0,511,1134,623,,,
worst_procedures,103,"","",QE2,Hip Replacement Revision,2025_q2,8102,8,8,1,12.50,0,0,,,0,218,455,237,,,
worst_procedures,104,"","",IWK,Brain Surgery (Pediatric),2025_q2,8102,8,8,0,0.00,0,0,,,0,94,198,104,,,
worst_procedures,105,"","",Aberdeen Hospital,Endometrial Ablation,2025_q1,8101,9,8,0,0.00,8,3,37.50,,0,139,266,127,64,177,113
worst_procedures,106,"","",QE2,Foot - Arthrodesis,2023_q4,8096,9,8,0,0.00,8,8,100.00,,0,137,184,47,768,1008,240
worst_procedures,107,"","",QE2,Lymph Node Biopsy,2024_q2,8098,9,8,0,0.00,9,0,0.00,,0,56,79,23,24,36,12
worst_procedures,108,"","",QE2,Nerve or Brain Stimulation,2024_q1,8097,9,8,0,0.00,8,1,12.50,,0,68,160,92,104,791,687
worst_procedures,109,"","",Dartmouth General,Tonsillectomy and/or Adenoidectomy (Adult),2025_q2,8102,8,8,0,0.00,0,0,,,0,137,316,179,,,
worst_procedures,110,"","",QE2,Vascular Bypass Surgery,2024_q3,8099,8,8,0,0.00,0,0,,,0,47,80,33,,,
worst_procedures,111,"","","",Tear Duct Surgery,"",,9,0,0,,9,4,44.44,,0,,,,,,
worst_lines,1,"",IWK,IWK,Dental Extractions and Restorations (Adult),2024_q2,8098,,1,1,,,,,,,560,1301,741,,,
worst_lines,2,"",IWK,IWK,Dental Extractions and Restorations (Adult),2024_q4,8100,,1,1,,,,,,,551,701,150,,,
worst_lines,3,"",IWK,IWK,Dental Extractions and Restorations (Adult),2023_q3,8095,,1,1,,,,,,,520,745,225,,,
worst_lines,4,"",IWK,IWK,Male Circumcision (Pediatric),2024_q2,8098,,1,1,,,,,,,511,1134,623,,,
worst_lines,5,"",Zone 4,QE2,Surgery for Hearing or Balance Problems of the Ear,2023_q3,8095,,1,1,,,,,,,503,1093,590,149,392,243
worst_lines,6,"",Zone 1,Valley Regional,Hip Replacement,2023_q2,8094,,1,1,,,,,,,487,664,177,152,400,248
worst_lines,7,"",Zone 1,Valley Regional,Knee Replacement,2023_q2,8094,,1,1,,,,,,,483,634,151,242,366,124
worst_lines,8,"",IWK,IWK,Back Surgery (Pediatric),2023_q2,8094,,1,1,,,,,,,482,715,233,,,
worst_lines,9,"",Zone 1,Valley Regional,Hip Replacement,2023_q3,8095,,1,1,,,,,,,469,625,156,216,388,172
worst_lines,10,"",Zone 3,Cape Breton Regional,Removal of Ovaries and/or Fallopian Tubes (Cancer Not Suspected),2023_q4,8096,,1,1,,,,,,,446,484,38,48,107,59
worst_lines,11,"",Zone 4,QE2,Knee Replacement,2023_q4,8096,,1,1,,,,,,,438,1355,917,135,392,257
worst_lines,12,"",Zone 1,Valley Regional,Knee Replacement,2023_q3,8095,,1,1,,,,,,,438,655,217,359,436,77
worst_lines,13,"",Zone 1,Valley Regional,Hip Replacement,2023_q4,8096,,1,1,,,,,,,434,652,218,189,419,230
worst_lines,14,"",IWK,IWK,Back Surgery (Pediatric),2024_q2,8098,,1,1,,,,,,,422,437,15,,,
worst_lines,15,"",Zone 4,QE2,Knee Replacement,2024_q1,8097,,1,1,,,,,,,417,1342,925,101,316,215
worst_lines,16,"",Zone 1,Valley Regional,Knee Replacement,2023_q4,8096,,1,1,,,,,,,412,637,225,389,442,53
worst_lines,17,"",IWK,IWK,Dental Extractions and Restorations (Adult),2025_q1,8101,,1,1,,,,,,,407,1242,835,,,
worst_lines,18,"",Zone 1,Valley Regional,Shoulder Arthroplasty,2023_q2,8094,,1,1,,,,,,,400,586,186,113,706,593
worst_lines,19,"",Zone 1,Valley Regional,Shoulder Surgery,2023_q2,8094,,1,1,,,,,,,400,586,186,113,706,593
worst_lines,20,"",Zone 2,Colchester East Hants Health Centre,Male Reproductive System Surgery,2024_q1,8097,,1,1,,,,,,,385,629,244,169,593,424
worst_lines,21,"",IWK,IWK,Dental Extractions and Restorations (Adult),2025_q2,8102,,1,1,,,,,,,374,947,573,,,
worst_lines,22,"",IWK,IWK,Dental Extractions and Restorations (Adult),2024_q3,8099,,1,1,,,,,,,365,844,479,,,
worst_lines,23,"",Zone 4,QE2,Knee Replacement - Partial,2023_q2,8094,,1,1,,,,,,,365,531,166,381,420,39
worst_lines,24,"",Zone 3,Cape Breton Regional,Septoplasty,2024_q2,8098,,1,1,,,,,,,360,390,30,41,152,111
worst_lines,25,"",IWK,IWK,Back Surgery (Pediatric),2023_q3,8095,,1,1,,,,,,,360,720,360,,,
provincial_trend,1,"",Total,Provincial,Back Surgery (Pediatric),2023_q2,8094,130,128,13,10.16,104,19,18.27,,,482,715,233,,,
provincial_trend,2,"",Total,Provincial,Back Surgery (Pediatric),2023_q3,8095,129,127,13,10.24,108,24,22.22,0.08,,360,720,360,,,
provincial_trend,3,"",Total,Provincial,Knee Replacement - Partial,2023_q4,8096,129,127,9,7.09,106,30,28.30,-3.15,,325,399,74,216,696,480
provincial_trend,4,"",Total,Provincial,Back Surgery (Pediatric),2024_q1,8097,130,128,12,9.38,108,27,25.00,2.29,,314,539,225,,,
provincial_trend,5,"",Total,Provincial,Back Surgery (Pediatric),2024_q2,8098,128,126,8,6.35,108,29,26.85,-3.03,,413,437,24,,,
provincial_trend,6,"",Total,Provincial,Back Surgery (Pediatric),2024_q3,8099,128,125,9,7.20,108,42,38.89,0.85,,359,741,382,,,
provincial_trend,7,"",Total,Provincial,Maxillofacial Deformity Surgery,2024_q4,8100,130,128,6,4.69,108,31,28.70,-2.51,,261,540,279,355,582,227
provincial_trend,8,"",Total,Provincial,Back Surgery (Pediatric),2025_q1,8101,129,127,10,7.87,108,39,36.11,3.18,,310,589,279,,,
provincial_trend,9,"",Total,Provincial,Back Surgery (Pediatric),2025_q2,8102,128,127,2,1.57,105,35,33.33,-6.30,,281,569,288,,,
